"","name","state","jurisdiction","description","security","age","gender","diff_operator_dummy","diff_operator","population","capacity","hifld_id","bjs_id","current","source_population","source_capacity","latitude","longitude","county_fips","zipcode","city","county"
"311","LAKE CITY CF","Florida",NA,NA,NA,NA,NA,NA,NA,876,893,10000394,"108000000079881000000","Previous","HIFLD","HIFLD",30.19252797,-82.50773893,12023,32055,"LAKE CITY","COLUMBIA"
"312","LANCASTER CORRECTIONAL INSTITUTION","Florida","state","Prison",NA,"A","M",NA,NA,720,732,10000428,"100000000077900000000","Current","HIFLD","HIFLD",29.60801197,-82.8634739,12041,32693,"TRENTON","GILCHRIST"
"313","LAWTEY CORRECTIONAL INSTITUTION","Florida","state","Prison",NA,"A","M",NA,NA,804,832,10000414,"100000000071800000000","Current","HIFLD","HIFLD",30.0339212,-82.07236464,12007,32058,"LAWTEY","BRADFORD"
"314","LIBERTY CORRECTIONAL INSTITUTION","Florida","state","Prison",NA,"A","M",NA,NA,1771,1330,10000391,"100000000079700000000","Current","HIFLD","Public Records",30.46383683,-84.85588125,12077,32321,"BRISTOL","LIBERTY"
"315","LOWELL CORRECTIONAL INSTITUTION","Florida","state","Prison",NA,"B","F",NA,NA,2405,1456,10000437,"100000000071400000000","Current","HIFLD","HIFLD",29.31079789,-82.20039763,12083,34482,"OCALA","MARION"
"316","MADISON CORRECTIONAL INSTITUTION","Florida","state","Prison",NA,"A","M",NA,NA,1277,1189,10000381,"100000000079900000000","Current","HIFLD","HIFLD",30.44008751,-83.42161169,12079,32340,"MADISON","MADISON"
"317","MARIANNA FEDERAL CORRECTIONAL INSTITUTION","Florida","federal","Prison","Med/Min","A","F",NA,NA,NA,NA,NA,"106032666070100000000","Current",NA,NA,NA,NA,NA,NA,NA,NA
"318","MARION CORRECTIONAL INSTITUTION","Florida","state","Prison",NA,"A","M",NA,NA,1569,1324,10000440,"100000000079999700000","Current","HIFLD","HIFLD",29.30810089,-82.17502385,12083,34475,"OCALA","MARION"
"319","MARTIN CORRECTIONAL INSTITUTION","Florida","state","Prison",NA,"A","M",NA,NA,1720,1509,10000508,"100000000078300000000","Current","HIFLD","HIFLD",27.19661972,-80.48487746,12085,34956,"INDIANTOWN","MARTIN"
"320","MAYO ANNEX","Florida","state","Prison",NA,"A","M",NA,NA,1399,1345,10000409,"100000000078600000000","Current","HIFLD","HIFLD",30.1384625,-83.30514217,12067,32066,"MAYO","LAFAYETTE"
"321","MIAMI FEDERAL CORRECTIONAL INSTITUTION","Florida","federal","Prison","Min","A","M",NA,NA,931,778,10000542,"106013666070200000000","Current","HIFLD","HIFLD",25.61832698,-80.41039062,12086,33177,"MIAMI","MIAMI-DADE"
"322","MIAMI FEDERAL DETENTION CENTER","Florida","federal","Detention Center",NA,"A","B",NA,NA,1389,1328,10004647,NA,"Current","HIFLD","HIFLD",25.7784897,-80.19323747,12086,33132,"MIAMI","MIAMI-DADE"
"323","MOORE HAVEN CF","Florida",NA,NA,NA,NA,NA,NA,NA,964,985,10000510,"108000000079996000000","Previous","HIFLD","HIFLD",26.83843221,-81.12018204,12043,33471,"MOORE HAVEN","GLADES"
"324","NEW RIVER CORRECTIONAL INSTITUTION","Florida","state","Prison",NA,"A","M",NA,NA,1255,1050,10000416,NA,"Current","HIFLD","HIFLD",30.0628479,-82.17809153,12007,32083,"RAIFORD","BRADFORD"
"325","NORTHWEST FLORIDA RECEPTION CENTER","Florida","state","Reception Center",NA,"A","M",NA,NA,3127,1303,10000365,"100000000079999800000","Current","HIFLD","HIFLD",30.52072999,-85.65969841,12133,32428,"CHIPLEY","WASHINGTON"
"326","OKALOOSA CORRECTIONAL INSTITUTION","Florida","state","Prison",NA,"A","M",NA,NA,1110,894,10004557,"100000000735000000000","Current","HIFLD","HIFLD",30.69681196,-86.52733104,12091,32539,"CRESTVIEW","OKALOOSA"
"327","OKEECHOBEE CORRECTIONAL INSTITUTION","Florida","state","Prison",NA,"A","M",NA,NA,2178,1632,10000495,"100000000079995000000","Current","HIFLD","HIFLD",27.39606954,-80.78444465,12093,34972,"OKEECHOBEE","OKEECHOBEE"
"328","PENSACOLA FEDERAL PRISON CAMP","Florida","federal","Prison","Min","A","M",NA,NA,NA,NA,NA,"106017666070100000000","Current",NA,NA,NA,NA,NA,NA,NA,NA
"329","POLK CORRECTIONAL INSTITUTION","Florida","state","Prison",NA,"A","M",NA,NA,1381,1208,10000473,"100000000077000000000","Current","HIFLD","HIFLD",28.19151724,-81.78675795,12105,33868,"POLK CITY","POLK"
"330","PUTNAM CORRECTIONAL INSTITUTION","Florida","state","Prison",NA,"A","M",NA,NA,450,458,10000430,"100000000073700000000","Current","HIFLD","HIFLD",29.64617008,-81.58778592,12107,32131,"EAST PALATKA","PUTNAM"
"331","RIVERSIDE HOUSE MIAMI FL","Florida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"108013666076230000000","Previous",NA,NA,NA,NA,NA,NA,NA,NA
"332","RECEPTION MEDICAL CENTER","Florida","state","Reception Center",NA,"A","M",NA,NA,2386,1503,10000418,"100000000072300000000","Current","HIFLD","HIFLD",29.98965556,-82.35918381,12125,32054,"LAKE BUTLER","UNION"
"333","SALVATION ARMY FORT MYERS FLORIDA","Florida","federal","Transitional Center",NA,"A","B",NA,NA,NA,NA,NA,"108036666076260000000","Current",NA,NA,NA,NA,NA,NA,NA,NA
"334","SALVATION ARMY RRC WEST PALM BEACH","Florida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"108050666076250000000","Previous",NA,NA,NA,NA,NA,NA,NA,NA
"335","SANTA ROSA CI","Florida",NA,NA,NA,NA,NA,NA,NA,1441,1614,10000339,"100000000079999200000","Previous","HIFLD","HIFLD",30.64561525,-86.96742857,12113,32583,"MILTON","SANTA ROSA"
"336","SOUTH FLORIDA RECEPTION CENTER","Florida","state","Reception Center",NA,"B","M",NA,NA,1531,1100,10000547,"100000000078800000000","Current","HIFLD","HIFLD",25.80587656,-80.42638712,12086,33178,"DORAL","MIAMI-DADE"
"337","SOUTH BAY CF","Florida",NA,NA,NA,NA,NA,NA,NA,1924,1948,10000512,"108000000079999100000","Previous","HIFLD","HIFLD",26.65774766,-80.71928984,12099,33493,"SOUTH BAY","PALM BEACH"
"338","SOUTH BAY CF GEO GROUP","Florida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,12099,NA,NA,NA
"339","ST LUCE COUNTY JAIL","Florida","county","Jail",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"340","STATEWIDE","Florida","state","Geographic",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"341","SUMTER CORRECTIONAL INSTITUTION","Florida","state","Prison",NA,"B","M",NA,NA,1324,1639,10000455,"100000000071500000000","Current","HIFLD","HIFLD",28.61748387,-82.20754297,12119,33513,"BUSHNELL","SUMTER"
"342","SUWANNEE CORRECTIONAL INSTITUTION","Florida","state","Prison",NA,"B","M",NA,NA,2043,1502,10000405,"100000000078100008400","Current","HIFLD","Public Records",30.23819413,-82.87311813,12121,32060,"LIVE OAK","SUWANNEE"
"343","TALLAHASSEE FEDERAL CORRECTIONAL INSTITUTION","Florida","federal","Prison","Min","A","M",NA,NA,925,628,10000375,"106037666070100000000","Current","HIFLD","HIFLD",30.44364798,-84.22253719,12073,32301,"TALLAHASSEE","LEON"
"344","TAYLOR CORRECTIONAL INSTITUTION","Florida","state","Prison",NA,"A","M",NA,NA,2264,1301,10004574,"100000000071030000000","Current","HIFLD","HIFLD",30.040944,-83.71342,12123,32348,"PERRY","TAYLOR"
"345","TOMOKA CORRECTIONAL INSTITUTION","Florida","state","Prison",NA,"A","M",NA,NA,1497,1263,10000444,"100000000077800000000","Current","HIFLD","HIFLD",29.15157094,-81.15726813,12127,32124,"DAYTONA BEACH","VOLUSIA"
"346","UNION CORRECTIONAL INSTITUTION","Florida","state","Prison",NA,"A","M",NA,NA,1720,2172,10000417,"100000000070200000000","Current","HIFLD","HIFLD",30.06674635,-82.19278712,12125,32083,"RAIFORD","UNION"
"347","WAKULLA CORRECTIONAL INSTITUTION","Florida","state","Prison",NA,"A","M",NA,NA,2976,1397,10004575,"100000000079999000000","Current","HIFLD","HIFLD",30.2614929,-84.1748045,12129,32327,"CRAWFORDVILLE","WAKULLA"
"348","WALTON CORRECTIONAL INSTITUTION","Florida","state","Prison",NA,"A","M",NA,NA,1437,1201,10000360,"100000000079960000000","Current","HIFLD","HIFLD",30.77868009,-86.10318532,12131,32433,"DEFUNIAK SPRINGS","WALTON"
"349","ZEPHYRHILLS CORRECTIONAL INSTITUTION","Florida","state","Prison",NA,"A","M",NA,NA,603,758,10000467,"100000000070500000000","Current","HIFLD","HIFLD",28.19909791,-82.19869217,12101,33541,"ZEPHYRHILLS","PASCO"
"350","APPLING INTEGRATED TREATMENT FACILITY","Georgia","state","Prison",NA,"A","M",NA,NA,191,232,10004527,"110000000071710009401","Current","HIFLD","Public Records",NA,NA,13001,31513,"BAXLEY","APPLING"
"351","AUGUSTA STATE MEDICAL PRISON","Georgia","state","Medical Facility",NA,"A","M",NA,NA,1160,1326,10006153,"110000000072800000000","Current","HIFLD","HIFLD",33.43287905,-82.18852112,13073,30813,"GROVETOWN","COLUMBIA"
"352","ATLANTA TRANSITIONAL CENTER","Georgia","state","Transitional Center",NA,"A","M",NA,NA,281,257,10001411,"110000000074700000000","Current","HIFLD","HIFLD",33.77270217,-84.3762642,13121,30308,"ATLANTA","FULTON"
"353","ATLANTA UNITED STATES PENITENTIARY","Georgia","federal","Prison","Med/Min","A","M",NA,NA,2093,2093,10000285,"116060666070100000000","Current","HIFLD","HIFLD",33.71070018,-84.36897923,13121,30315,"ATLANTA","FULTON"
"354","AUGUSTA TRANSITIONAL CENTER","Georgia","state","Transitional Center",NA,"A","M",NA,NA,226,230,10004475,"110000000078200000000","Current","HIFLD","Public Records",NA,NA,13245,30906,"AUGUSTA","RICHMOND"
"355","AUTRY STATE PRISON","Georgia","state","Prison",NA,"A","M",NA,NA,1715,1698,10000325,"110000000075000000000","Current","HIFLD","HIFLD",31.18946471,-84.14510952,13205,31779,"PELHAM","MITCHELL"
"356","BACON PROBATION DETENTION CENTER","Georgia","state","Detention Center",NA,"A","B",NA,NA,232,790,10004534,"110000000071720009402","Current","HIFLD","HIFLD",31.53308262,-82.44987705,13005,31510,"ALMA","BACON"
"357","BAINBRIDGE PROBATION SUBSTANCE ABUSE TREATMENT","Georgia","state","Prison",NA,"A","M",NA,NA,NA,316,10006339,"110000000079910000000","Current","HIFLD","HIFLD",30.98252995,-84.63677462,13087,39817,"BAINBRIDGE","DECATUR"
"358","BALDWIN COUNTY JAIL","Georgia",NA,NA,NA,NA,NA,NA,NA,-999,-999,10000300,NA,"Previous","HIFLD","HIFLD",NA,NA,13009,31061,"MILLEDGEVILLE","BALDWIN"
"359","BALDWIN STATE PRISON","Georgia","state","Prison",NA,"A","M",NA,NA,953,925,10002129,"110000000070400000000","Current","HIFLD","HIFLD",33.0250608,-83.2213613,13009,31034,"HARDWICK","BALDWIN"
"360","BLECKLEY PROBATION SUBSTANCE ABUSE TREATMENT CENTER","Georgia","state","Detention Center",NA,NA,NA,NA,NA,NA,NA,NA,"110000000075410010501","Current",NA,NA,NA,NA,NA,NA,NA,NA
"361","BULLOCH COUNTY CORRECTIONAL INSTITUTION","Georgia","state","Prison",NA,"A","M",NA,NA,NA,183,NA,NA,"Current",NA,"Public Records",NA,NA,NA,NA,NA,NA
"362","BURRUSS CORRECTIONAL TRAINING CENTER","Georgia","state","Prison",NA,"B","M",NA,NA,444,806,10001421,"110000000073400000000","Current","HIFLD","HIFLD",33.05554556,-83.97538536,13207,31029,"FORSYTH","MONROE"
"363","CALHOUN STATE PRISON","Georgia","state","Prison",NA,"A","M",NA,NA,1638,1677,10002146,"110000000075200000000","Current","HIFLD","HIFLD",31.53975718,-84.6166883,13037,39866,"MORGAN","CALHOUN"
"364","CARROLL COUNTY CORRECTIONAL INSTITUTION","Georgia","state","Prison",NA,"A","M",NA,NA,249,246,10003920,NA,"Current","HIFLD","Public Records",NA,NA,13045,30117,"CARROLLTON","CARROLL"
"365","CENTRAL STATE PRISON","Georgia","state","Prison",NA,"A","M",NA,NA,1136,1153,10002134,"110000000071600000000","Current","HIFLD","HIFLD",32.77682714,-83.75181934,13021,31208,"MACON","BIBB"
"366","CLARKE COUNTY CORRECTIONAL INSTITUTION","Georgia","state","Prison",NA,"A","M",NA,NA,126,112,10003914,"110000000079981100000","Current","HIFLD","Public Records",NA,NA,13059,30601,"ATHENS","CLARKE"
"367","CLAYTON COUNTY CORRECTIONAL INSTITUTION","Georgia","state","Prison",NA,"A","M",NA,NA,NA,242,NA,NA,"Current",NA,"Public Records",NA,NA,NA,NA,NA,NA
"368","CLAYTON TRANSITIONAL CENTER","Georgia","state","Transitional Center",NA,"A","M",NA,NA,379,376,10002121,"110000000079960000000","Current","HIFLD","HIFLD",33.62430193,-84.3976813,13063,30297,"FOREST PARK","CLAYTON"
"369","COASTAL STATE PRISON","Georgia","state","Prison",NA,"A","M",NA,NA,1638,1836,10000314,"110000000070800000000","Current","HIFLD","HIFLD",32.13759217,-81.18656693,13051,31418,"GARDEN CITY","CHATHAM"
"370","COFFEE CORRECTIONAL FACILITY","Georgia","state","Prison",NA,"A","M",NA,NA,2657,2628,10002144,"118000000075700000000","Current","HIFLD","HIFLD",31.53063543,-82.63791259,13069,31554,"NICHOLLS","COFFEE"
"371","COLQUITT COUNTY CORRECTIONAL INSTITUTION","Georgia","state","Prison",NA,"A","M",NA,NA,191,190,10004548,"110000000079951100000","Current","HIFLD","HIFLD",31.12973082,-83.70786594,13071,31768,"MOULTRIE","COLQUITT"
"372","COLUMBUS TRANSITIONAL CENTER","Georgia","state","Prison",NA,"A","M",NA,NA,139,182,10001426,"110000000079980009102","Current","HIFLD","HIFLD",32.49407873,-84.86892761,13215,31907,"COLUMBUS","MUSCOGEE"
"373","COLWELL PROBATION DETENTION CENTER","Georgia","state","Detention Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"374","CSC DISMAS CHARITIES RRC ATLANTA","Georgia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"118060666072000000000","Previous",NA,NA,NA,NA,NA,NA,NA,NA
"375","COWETA COUNTY CORRECTIONAL INSTITUTION","Georgia","state","Prison",NA,"A","M",NA,NA,215,210,10004478,NA,"Current","HIFLD","Public Records",NA,NA,13077,30263,"NEWNAN","COWETA"
"376","D RAY JAMES CORRECTIONAL INSTITUTION","Georgia","federal","Prison","Med","A","M","Different Operator","GeoGroup",1826,2067,10000327,"118000000076000000000","Current","HIFLD","HIFLD",30.87400142,-81.97896384,13049,31537,"FOLKSTON","CHARLTON"
"377","DECATUR COUNTY CORRECTIONAL INSTITUTION","Georgia","state","Prison",NA,NA,NA,"Different Operator",NA,195,382,10003940,"110000000079971100000","Current","HIFLD","HIFLD",NA,NA,13087,39817,"BAINBRIDGE","DECATUR"
"378","DODGE STATE PRISON","Georgia","state","Prison",NA,"A","M",NA,NA,1228,1236,10002138,"110000000073200000000","Current","HIFLD","HIFLD",32.3942334,-83.16745955,13091,31012,"CHESTER","DODGE"
"379","DOOLY STATE PRISON","Georgia","state","Prison",NA,"A","M",NA,NA,1661,1702,10006154,"110000000075300000000","Current","HIFLD","HIFLD",32.28092423,-83.71567596,13093,31091,"UNADILLA","HOUSTON"
"380","EFFINGHAM COUNTY CORRECTIONAL INSTITUTION","Georgia","state","Prison",NA,"A","M","Different Operator",NA,NA,NA,NA,"110000000079994000000","Current",NA,NA,NA,NA,NA,NA,NA,NA
"381","EMANUEL WOMENS FACILITY","Georgia","state","Prison","Med","A","M",NA,NA,395,415,10004496,"110000000079993000000","Current","HIFLD","HIFLD",32.61303825,-82.3564078,13107,30401,"SWAINSBORO","EMANUEL"
"382","EMANUEL PROBATION DETENTION CENTER","Georgia","state","Detention Center",NA,"A","M",NA,NA,-999,369,10004497,NA,"Current","HIFLD","HIFLD",NA,NA,13107,30471,"TWIN CITY","EMANUEL"
"383","FLOYD COUNTY CORRECTIONAL INSTITUTION","Georgia","state","Prison","Med","A","M",NA,NA,NA,448,NA,NA,"Current",NA,"Public Records",NA,NA,NA,NA,NA,NA
"384","GEORGIA DIAGNOSTIC AND CLASSIFICATION PRISON","Georgia","state","Reception Center","Max","A","M",NA,NA,3371,2487,10000298,NA,"Current","HIFLD","HIFLD",33.22107373,-84.06161828,13035,30233,"JACKSON","BUTTS"
"385","GEORGIA DIAGNOSTIC AND CLASSIFICATION PRISON SPECIAL MANAGEMENT UNIT","Georgia","state","Prison Unit",NA,"A","M",NA,NA,3371,192,10000298,NA,"Current","HIFLD","HIFLD",33.22107373,-84.06161828,13035,30233,"JACKSON","BUTTS"
"386","GEORGIA STATE PRISON","Georgia","state","Prison",NA,"A","M",NA,NA,1454,1530,10002141,"110000000070100000000","Current","HIFLD","HIFLD",32.00512895,-82.16473427,13267,30453,"REIDSVILLE","TATTNALL"
"387","GWINNETT COUNTY CORRECTIONAL INSTITUTION","Georgia","state","Prison","Min","A","M",NA,NA,NA,512,NA,NA,"Current",NA,"Public Records",NA,NA,NA,NA,NA,NA
"388","HALL COUNTY CORRECTIONAL INSTITUTION","Georgia","state","Prison","Med","A","M",NA,NA,194,240,10006723,"110000000079997000000","Current","HIFLD","Public Records",NA,NA,13139,30507,"GAINESVILLE","HALL"
"389","HANCOCK STATE PRISON","Georgia","state","Prison","Max","A","M",NA,NA,1143,1191,10000297,"110000000074000000000","Current","HIFLD","HIFLD",33.24549405,-82.95092313,13141,31087,"SPARTA","HANCOCK"
"390","HARRIS COUNTY CORRECTIONAL INSTITUTION","Georgia","state","Prison","Med","A","M",NA,NA,154,125,10003931,"110000000079998000000","Current","HIFLD","Public Records",NA,NA,13145,31811,"HAMILTON","HARRIS"
"391","HAYS STATE PRISON","Georgia","state","Prison","Max","A","M",NA,NA,1065,1101,10000284,"110000000073800000000","Current","HIFLD","Public Records",NA,NA,13055,30753,"TRION","CHATTOOGA"
"392","HELMS FACILITY","Georgia","state","Medical Facility",NA,"A","B",NA,NA,28,64,10001415,"110000000079000000000","Current","HIFLD","Public Records",NA,NA,13089,30316,"ATLANTA","DEKALB"
"393","HUDSON TRANSITIONAL CENTER","Georgia","state","Transitional Center","Min","A","M",NA,NA,NA,155,NA,NA,"Current",NA,"Public Records",NA,NA,NA,NA,NA,NA
"394","JACKSON COUNTY CORRECTIONAL INSTITUTION","Georgia","state","Prison","Med","A","M",NA,NA,154,150,10003907,NA,"Current","HIFLD","Public Records",NA,NA,13157,30549,"JEFFERSON","JACKSON"
"395","JEFFERSON COUNTY CORRECTIONAL INSTITUTION","Georgia","state","Prison","Med","A","M",NA,NA,147,190,10004482,"110000000079911000000","Current","HIFLD","Public Records",NA,NA,13163,30434,"LOUISVILLE","JEFFERSON"
"396","JENKINS CORRECTIONAL CENTER","Georgia","state","Prison","Med","A","M",NA,NA,NA,1186,NA,"118000000078000000000","Current",NA,"Public Records",NA,NA,NA,NA,NA,NA
"397","JOHNSON STATE PRISON","Georgia","state","Prison","Med","A","M",NA,NA,1583,1600,10000303,"110000000071010000000","Current","HIFLD","HIFLD",32.74353362,-82.70234985,13167,31096,"WRIGHTSVILLE","JOHNSON"
"398","LEE ARRENDALE STATE PRISON","Georgia","state","Prison","Max/Min","B","M",NA,NA,1596,1476,10002102,"110000000070300000000","Current","HIFLD","HIFLD",34.45106681,-83.59596645,13137,30510,"ALTO","HABERSHAM"
"399","LEE ARRENDALE TRANSITIONAL CENTER","Georgia","state","Transitional Center","Min","A","M",NA,NA,NA,117,NA,"110000000076510008802","Current",NA,"Public Records",NA,NA,NA,NA,NA,NA
"400","LEE STATE PRISON","Georgia","state","Prison","Med","A","M",NA,NA,740,762,10000323,"110000000071200000000","Current","HIFLD","HIFLD",31.76369451,-84.19354919,13177,31763,"LEESBURG","LEE"
"401","LONG UNIT","Georgia","state","Prison","Med","A","M",NA,NA,NA,212,NA,"110000000077810010002","Current",NA,"Public Records",NA,NA,NA,NA,NA,NA
"402","MACON STATE PRISON","Georgia","state","Prison","Max","A","M",NA,NA,1703,1762,10002137,"110000000074300000000","Current","HIFLD","HIFLD",32.25930659,-84.09144003,13193,31068,"OGLETHORPE","MACON"
"403","MACON TRANSITIONAL CENTER","Georgia","state","Transitional Center","Min","A","M",NA,NA,157,156,10001423,"110000000072200000000","Current","HIFLD","Public Records",NA,NA,13021,31206,"MACON","BIBB"
"404","MCEVER PDC","Georgia","state","Detention Center",NA,"A","M",NA,NA,NA,235,10004500,"110000000079700000000","Current","HIFLD","HIFLD",32.46494728,-83.69501268,13153,31069,"PERRY","HOUSTON"
"405","MCRAE CORRECTIONAL INSTITUTION","Georgia","federal","Prison","Min","A","M","Different Operator","CoreCivic",1601,2275,10000315,"118134666079981000000","Current","HIFLD","HIFLD",32.05007042,-82.8715772,13271,31055,"MCRAE","TELFAIR"
"406","METRO REENTRY FACILITY","Georgia","state","Transitional Center","Med/Min","A","M",NA,NA,229,355,10001414,NA,"Current","HIFLD","HIFLD",33.687261,-84.336355,13089,30316,"ATLANTA","DEKALB"
"407","METRO TRANSITIONAL CENTER","Georgia","state","Transitional Center","Min","A","M",NA,NA,229,235,10001414,"110000000079961010105","Current","HIFLD","HIFLD",33.6885252,-84.336397,13089,30316,"ATLANTA","DEKALB"
"408","MITCHELL COUNTY CORRECTIONAL INSTITUTION","Georgia","state","Prison","Med/Min","A","M",NA,NA,144,159,10002149,"110000000079921000000","Current","HIFLD","HIFLD",31.2324018,-84.180085,13205,31730,"CAMILLA","MITCHELL"
"409","MONTGOMERY STATE PRISON","Georgia","state","Prison","Med","A","M",NA,NA,418,900,10000308,"110000000071300000000","Current","HIFLD","Public Records",NA,NA,13209,30445,"MOUNT VERNON","MONTGOMERY"
"410","MUSCOGEE COUNTY CORRECTIONAL INSTITUTION","Georgia","state","Prison","Med","A","M",NA,NA,NA,528,NA,"110000000079931000000","Current",NA,"Public Records",NA,NA,NA,NA,NA,NA
"411","NORTHWEST RESIDENTIAL SUBSTANCE ABUSE TREATMENT","Georgia","state","Prison","Med","A","M",NA,NA,NA,NA,NA,"110000000070710008901","Current",NA,NA,NA,NA,NA,NA,NA,NA
"412","PATTEN PROBATION DETENTION CENTER","Georgia","state","Detention Center","Min","A","M",NA,NA,NA,252,10004551,NA,"Current","HIFLD","HIFLD",31.03988304,-83.0617537,13173,31635,"LAKELAND","LANIER"
"413","PAULDING RESIDENTIAL SUBSTANCE ABUSE TREATMENT","Georgia","state","Prison",NA,"A","M",NA,NA,150,260,10002108,"110000000079940000000","Current","HIFLD","HIFLD",33.94976674,-84.81466644,13223,30132,"DALLAS","PAULDING"
"414","PHILLIPS STATE PRISON","Georgia","state","Prison","Med","A","M",NA,NA,1048,918,10002106,"110000000071400000000","Current","HIFLD","HIFLD",34.0942918,-83.9105205,13135,30519,"BUFORD","GWINNETT"
"415","PHILLIPS TRANSITIONAL CENTER","Georgia","state","Transitional Center","Min","A","M",NA,NA,194,204,10002105,"110000000071500009301","Current","HIFLD","HIFLD",34.09554623,-83.90946974,13135,30519,"BUFORD","GWINNETT"
"416","PULASKI STATE PRISON","Georgia","state","Prison","Med","A","F",NA,NA,1162,1223,10000307,"110000000075400000000","Current","HIFLD","HIFLD",32.3115199,-83.45723464,13235,31036,"HAWKINSVILLE","PULASKI"
"417","RICHMOND COUNTY CORRECTIONAL INSTITUTION","Georgia","state","Prison","Med","A","M",NA,NA,280,220,10001419,NA,"Current","HIFLD","Public Records",NA,NA,13245,30906,"AUGUSTA","RICHMOND"
"418","RIVERBEND CORRECTIONAL FACILITY","Georgia","state","Prison","Med","A","M","Different Operator","GeoGroup",1497,1588,10006322,"118000000077000000000","Current","HIFLD","HIFLD",NA,NA,13009,31061,"MILLEDGEVILLE","BALDWIN"
"419","ROGERS STATE PRISON","Georgia","state","Prison","Med","A","M",NA,NA,1398,1391,10000310,"110000000073100000000","Current","HIFLD","Public Records",NA,NA,13267,30453,"REIDSVILLE","TATTNALL"
"420","RUTLEDGE STATE PRISON","Georgia","state","Prison","Med","A","M",NA,NA,601,640,10000304,"110000000070900000000","Current","HIFLD","HIFLD",32.49582796,-84.86617971,13215,31907,"COLUMBUS","MUSCOGEE"
"421","SCREVEN COUNTY CORRECTIONAL INSTITUTION","Georgia","state","Prison","Med","A","M",NA,NA,148,125,10005184,NA,"Current","HIFLD","Public Records",NA,NA,13251,30467,"SYLVANIA","SCREVEN"
"422","SMITH STATE PRISON","Georgia","state","Prison","Max","A","M",NA,NA,1514,1526,10000309,"110000000074400000000","Current","HIFLD","HIFLD",31.97310836,-81.91578361,13267,30427,"GLENNVILLE","TATTNALL"
"423","SMITH TRANSITIONAL CENTER","Georgia","state","Transitional Center","Min","A","M",NA,NA,199,213,10004515,"110000000077820010003","Current","HIFLD","Public Records",NA,NA,13109,30417,"CLAXTON","EVANS"
"424","SOUTHEAST REGIONAL OFFICE","Georgia","federal","Administrative",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,13121,NA,NA,NA
"425","SOUTHEAST REGIONAL OFFICE","Georgia","federal","Administrative",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,13121,NA,NA,NA
"426","SPALDING COUNTY CORRECTIONAL INSTITUTION","Georgia","state","Prison","Med","A","M",NA,NA,376,384,10002125,NA,"Current","HIFLD","Public Records",NA,NA,13255,30223,"GRIFFIN","SPALDING"
"427","SUMTER COUNTY CORRECTIONAL INSTITUTION","Georgia","state","Prison",NA,"J","M",NA,NA,NA,1639,NA,NA,"Current",NA,"Public Records",NA,NA,NA,NA,NA,NA
"428","TELFAIR STATE PRISON","Georgia","state","Prison","Max","A","M",NA,NA,1370,1400,10000316,NA,"Current","HIFLD","Public Records",NA,NA,13271,31037,"HELENA","TELFAIR"
"429","TERRELL COUNTY CORRECTIONAL INSTITUTION","Georgia","state","Prison","Med","A","M",NA,NA,144,140,10004524,NA,"Current","HIFLD","Public Records",NA,NA,13273,39842,"DAWSON","TERRELL"
"430","TREUTLEN PROBATION DETENTION CENTER","Georgia","state","Detention Center","Med","A","M",NA,NA,NA,295,10005191,"110000000079600000000","Current","HIFLD","HIFLD",32.3624615,-82.60238104,13283,30457,"SOPERTON","TREUTLEN"
"431","TURNER RESIDENTIAL SUBSTANCE ABUSE TREATMENT","Georgia","state","Prison","Med","A","M",NA,NA,1,232,10005201,"110000000075110010301","Current","HIFLD","HIFLD",31.6621587,-83.63393731,13287,31790,"SYCAMORE","TURNER"
"432","TURNER RESIDENTIAL SUBSTANCE ABUSE TREATMENT","Georgia","state","Prison","Med","A","M",NA,NA,NA,232,NA,NA,"Current",NA,"Public Records",NA,NA,13287,NA,NA,NA
"433","ATLANTA UNITED STATES PENITENTIARY","Georgia","federal","Prison","Med/Min","A","M",NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,13121,NA,NA,NA
"434","VALDOSTA STATE PRISON","Georgia","state","Prison","Max","A","M",NA,NA,1000,1312,10000328,"110000000073500000000","Current","HIFLD","HIFLD",30.85995723,-83.34575403,13185,31601,"VALDOSTA","LOWNDES"
"435","VALDOSTA TRANSITIONAL CENTER","Georgia","state","Transitional Center","Min","A","M",NA,NA,164,164,10001432,"110000000079992000000","Current","HIFLD","HIFLD",30.80565871,-83.2675069,13185,31601,"VALDOSTA","LOWNDES"
"436","WALKER STATE PRISON","Georgia","state","Prison","Med","A","M",NA,NA,406,444,10000283,"110000000070700000000","Current","HIFLD","Public Records",NA,NA,13295,30739,"ROCK SPRING","WALKER"
