"name","state","jurisdiction","description","security","age","gender","diff_operator_dummy","diff_operator","population","capacity","hifld_id","bjs_id","current","source_population","source_capacity","latitude","longitude","county_fips","zipcode","city","county"
"HAYS STATE PRISON","Georgia","state","Prison","Max","A","M",NA,NA,1065,1101,10000284,"110000000073800000000","Current","HIFLD","Public Records",NA,NA,13055,30753,"TRION","CHATTOOGA"
"HELMS FACILITY","Georgia","state","Medical Facility",NA,"A","B",NA,NA,28,64,10001415,"110000000079000000000","Current","HIFLD","Public Records",NA,NA,13089,30316,"ATLANTA","DEKALB"
"HUDSON TRANSITIONAL CENTER","Georgia","state","Transitional Center","Min","A","M",NA,NA,NA,155,NA,NA,"Current",NA,"Public Records",NA,NA,NA,NA,NA,NA
"JACKSON COUNTY CORRECTIONAL INSTITUTION","Georgia","state","Prison","Med","A","M",NA,NA,154,150,10003907,NA,"Current","HIFLD","Public Records",NA,NA,13157,30549,"JEFFERSON","JACKSON"
"JEFFERSON COUNTY CORRECTIONAL INSTITUTION","Georgia","state","Prison","Med","A","M",NA,NA,147,190,10004482,"110000000079911000000","Current","HIFLD","Public Records",NA,NA,13163,30434,"LOUISVILLE","JEFFERSON"
"JENKINS CORRECTIONAL CENTER","Georgia","state","Prison","Med","A","M",NA,NA,NA,1186,NA,"118000000078000000000","Current",NA,"Public Records",NA,NA,NA,NA,NA,NA
"JOHNSON STATE PRISON","Georgia","state","Prison","Med","A","M",NA,NA,1583,1600,10000303,"110000000071010000000","Current","HIFLD","HIFLD",32.74353362,-82.70234985,13167,31096,"WRIGHTSVILLE","JOHNSON"
"LEE ARRENDALE STATE PRISON","Georgia","state","Prison","Max/Min","B","M",NA,NA,1596,1476,10002102,"110000000070300000000","Current","HIFLD","HIFLD",34.45106681,-83.59596645,13137,30510,"ALTO","HABERSHAM"
"LEE ARRENDALE TRANSITIONAL CENTER","Georgia","state","Transitional Center","Min","A","M",NA,NA,NA,117,NA,"110000000076510008802","Current",NA,"Public Records",NA,NA,NA,NA,NA,NA
"LEE STATE PRISON","Georgia","state","Prison","Med","A","M",NA,NA,740,762,10000323,"110000000071200000000","Current","HIFLD","HIFLD",31.76369451,-84.19354919,13177,31763,"LEESBURG","LEE"
"LONG UNIT","Georgia","state","Prison","Med","A","M",NA,NA,NA,212,NA,"110000000077810010002","Current",NA,"Public Records",NA,NA,NA,NA,NA,NA
"MACON STATE PRISON","Georgia","state","Prison","Max","A","M",NA,NA,1703,1762,10002137,"110000000074300000000","Current","HIFLD","HIFLD",32.25930659,-84.09144003,13193,31068,"OGLETHORPE","MACON"
"MACON TRANSITIONAL CENTER","Georgia","state","Transitional Center","Min","A","M",NA,NA,157,156,10001423,"110000000072200000000","Current","HIFLD","Public Records",NA,NA,13021,31206,"MACON","BIBB"
"MCEVER PDC","Georgia","state","Detention Center",NA,"A","M",NA,NA,NA,235,10004500,"110000000079700000000","Current","HIFLD","HIFLD",32.46494728,-83.69501268,13153,31069,"PERRY","HOUSTON"
"MCRAE CORRECTIONAL INSTITUTION","Georgia","federal","Prison","Min","A","M","Different Operator","CoreCivic",1601,2275,10000315,"118134666079981000000","Current","HIFLD","HIFLD",32.05007042,-82.8715772,13271,31055,"MCRAE","TELFAIR"
"METRO REENTRY FACILITY","Georgia","state","Transitional Center","Med/Min","A","M",NA,NA,229,355,10001414,NA,"Current","HIFLD","HIFLD",33.687261,-84.336355,13089,30316,"ATLANTA","DEKALB"
"METRO TRANSITIONAL CENTER","Georgia","state","Transitional Center","Min","A","M",NA,NA,229,235,10001414,"110000000079961010105","Current","HIFLD","HIFLD",33.6885252,-84.336397,13089,30316,"ATLANTA","DEKALB"
"MITCHELL COUNTY CORRECTIONAL INSTITUTION","Georgia","state","Prison","Med/Min","A","M",NA,NA,144,159,10002149,"110000000079921000000","Current","HIFLD","HIFLD",31.2324018,-84.180085,13205,31730,"CAMILLA","MITCHELL"
"MONTGOMERY STATE PRISON","Georgia","state","Prison","Med","A","M",NA,NA,418,900,10000308,"110000000071300000000","Current","HIFLD","Public Records",NA,NA,13209,30445,"MOUNT VERNON","MONTGOMERY"
"MUSCOGEE COUNTY CORRECTIONAL INSTITUTION","Georgia","state","Prison","Med","A","M",NA,NA,NA,528,NA,"110000000079931000000","Current",NA,"Public Records",NA,NA,NA,NA,NA,NA
"NORTHWEST RESIDENTIAL SUBSTANCE ABUSE TREATMENT","Georgia","state","Prison","Med","A","M",NA,NA,NA,NA,NA,"110000000070710008901","Current",NA,NA,NA,NA,NA,NA,NA,NA
"PATTEN PROBATION DETENTION CENTER","Georgia","state","Detention Center","Min","A","M",NA,NA,NA,252,10004551,NA,"Current","HIFLD","HIFLD",31.03988304,-83.0617537,13173,31635,"LAKELAND","LANIER"
"PAULDING RESIDENTIAL SUBSTANCE ABUSE TREATMENT","Georgia","state","Prison",NA,"A","M",NA,NA,150,260,10002108,"110000000079940000000","Current","HIFLD","HIFLD",33.94976674,-84.81466644,13223,30132,"DALLAS","PAULDING"
"PHILLIPS STATE PRISON","Georgia","state","Prison","Med","A","M",NA,NA,1048,918,10002106,"110000000071400000000","Current","HIFLD","HIFLD",34.0942918,-83.9105205,13135,30519,"BUFORD","GWINNETT"
"PHILLIPS TRANSITIONAL CENTER","Georgia","state","Transitional Center","Min","A","M",NA,NA,194,204,10002105,"110000000071500009301","Current","HIFLD","HIFLD",34.09554623,-83.90946974,13135,30519,"BUFORD","GWINNETT"
"PULASKI STATE PRISON","Georgia","state","Prison","Med","A","F",NA,NA,1162,1223,10000307,"110000000075400000000","Current","HIFLD","HIFLD",32.3115199,-83.45723464,13235,31036,"HAWKINSVILLE","PULASKI"
"RICHMOND COUNTY CORRECTIONAL INSTITUTION","Georgia","state","Prison","Med","A","M",NA,NA,280,220,10001419,NA,"Current","HIFLD","Public Records",NA,NA,13245,30906,"AUGUSTA","RICHMOND"
"RIVERBEND CORRECTIONAL FACILITY","Georgia","state","Prison","Med","A","M","Different Operator","GeoGroup",1497,1588,10006322,"118000000077000000000","Current","HIFLD","HIFLD",NA,NA,13009,31061,"MILLEDGEVILLE","BALDWIN"
"ROGERS STATE PRISON","Georgia","state","Prison","Med","A","M",NA,NA,1398,1391,10000310,"110000000073100000000","Current","HIFLD","Public Records",NA,NA,13267,30453,"REIDSVILLE","TATTNALL"
"RUTLEDGE STATE PRISON","Georgia","state","Prison","Med","A","M",NA,NA,601,640,10000304,"110000000070900000000","Current","HIFLD","HIFLD",32.49582796,-84.86617971,13215,31907,"COLUMBUS","MUSCOGEE"
"SCREVEN COUNTY CORRECTIONAL INSTITUTION","Georgia","state","Prison","Med","A","M",NA,NA,148,125,10005184,NA,"Current","HIFLD","Public Records",NA,NA,13251,30467,"SYLVANIA","SCREVEN"
"SMITH STATE PRISON","Georgia","state","Prison","Max","A","M",NA,NA,1514,1526,10000309,"110000000074400000000","Current","HIFLD","HIFLD",31.97310836,-81.91578361,13267,30427,"GLENNVILLE","TATTNALL"
"SMITH TRANSITIONAL CENTER","Georgia","state","Transitional Center","Min","A","M",NA,NA,199,213,10004515,"110000000077820010003","Current","HIFLD","Public Records",NA,NA,13109,30417,"CLAXTON","EVANS"
"SOUTHEAST REGIONAL OFFICE","Georgia","federal","Administrative",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,13121,NA,NA,NA
"SOUTHEAST REGIONAL OFFICE","Georgia","federal","Administrative",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,13121,NA,NA,NA
"SPALDING COUNTY CORRECTIONAL INSTITUTION","Georgia","state","Prison","Med","A","M",NA,NA,376,384,10002125,NA,"Current","HIFLD","Public Records",NA,NA,13255,30223,"GRIFFIN","SPALDING"
"SUMTER COUNTY CORRECTIONAL INSTITUTION","Georgia","state","Prison",NA,"J","M",NA,NA,NA,1639,NA,NA,"Current",NA,"Public Records",NA,NA,NA,NA,NA,NA
"TELFAIR STATE PRISON","Georgia","state","Prison","Max","A","M",NA,NA,1370,1400,10000316,NA,"Current","HIFLD","Public Records",NA,NA,13271,31037,"HELENA","TELFAIR"
"TERRELL COUNTY CORRECTIONAL INSTITUTION","Georgia","state","Prison","Med","A","M",NA,NA,144,140,10004524,NA,"Current","HIFLD","Public Records",NA,NA,13273,39842,"DAWSON","TERRELL"
"TREUTLEN PROBATION DETENTION CENTER","Georgia","state","Detention Center","Med","A","M",NA,NA,NA,295,10005191,"110000000079600000000","Current","HIFLD","HIFLD",32.3624615,-82.60238104,13283,30457,"SOPERTON","TREUTLEN"
"TURNER RESIDENTIAL SUBSTANCE ABUSE TREATMENT","Georgia","state","Prison","Med","A","M",NA,NA,1,232,10005201,"110000000075110010301","Current","HIFLD","HIFLD",31.6621587,-83.63393731,13287,31790,"SYCAMORE","TURNER"
"TURNER RESIDENTIAL SUBSTANCE ABUSE TREATMENT","Georgia","state","Prison","Med","A","M",NA,NA,NA,232,NA,NA,"Current",NA,"Public Records",NA,NA,13287,NA,NA,NA
"ATLANTA UNITED STATES PENITENTIARY","Georgia","federal","Prison","Med/Min","A","M",NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,13121,NA,NA,NA
"VALDOSTA STATE PRISON","Georgia","state","Prison","Max","A","M",NA,NA,1000,1312,10000328,"110000000073500000000","Current","HIFLD","HIFLD",30.85995723,-83.34575403,13185,31601,"VALDOSTA","LOWNDES"
"VALDOSTA TRANSITIONAL CENTER","Georgia","state","Transitional Center","Min","A","M",NA,NA,164,164,10001432,"110000000079992000000","Current","HIFLD","HIFLD",30.80565871,-83.2675069,13185,31601,"VALDOSTA","LOWNDES"
"WALKER STATE PRISON","Georgia","state","Prison","Med","A","M",NA,NA,406,444,10000283,"110000000070700000000","Current","HIFLD","Public Records",NA,NA,13295,30739,"ROCK SPRING","WALKER"
"WARE STATE PRISON","Georgia","state","Prison","Max","A","M",NA,NA,1485,1546,10002147,"110000000071700000000","Current","HIFLD","HIFLD",31.25673084,-82.39335661,13299,31501,"WAYCROSS","WARE"
"WASHINGTON STATE PRISON","Georgia","state","Prison","Med","A","M",NA,NA,1334,1548,10002126,"110000000074600000000","Current","HIFLD","HIFLD",32.98872379,-82.59490798,13303,31018,"DAVISBORO","WASHINGTON"
"WEST CENTRAL INTEGRATED TREATMENT FACILITY","Georgia","state","Prison","Med","A","M",NA,NA,NA,194,10004487,"110000000075500000000","Current","HIFLD","HIFLD",33.11609815,-84.3610402,13231,30295,"ZEBULON","PIKE"
"WHEELER CORRECTIONAL FACILITY","Georgia","state","Prison","Med","A","M",NA,NA,2636,2874,10002142,"118000000075800000000","Current","HIFLD","HIFLD",32.1504927,-82.79500753,13309,30411,"ALAMO","WHEELER"
"WHITWORTH WOMENS FACILITY","Georgia","state","Prison","Med","A","M",NA,NA,NA,442,NA,NA,"Current",NA,"Public Records",NA,NA,NA,NA,NA,NA
"WILCOX STATE PRISON","Georgia","state","Prison","Med","A","M",NA,NA,1789,1827,10000318,"110000000075100000000","Current","HIFLD","Public Records",NA,NA,13315,31001,"ABBEVILLE","WILCOX"
"WOMENS PROBATION DETENTION CENTER","Georgia","state","Detention Center",NA,"A","M",NA,NA,NA,236,NA,"110000000077800000000","Current",NA,"Public Records",NA,NA,NA,NA,NA,NA
"HAWAII COMMUNITY CORRECTIONAL CENTER","Hawaii","state","Hybrid",NA,"A","B",NA,NA,515,226,10003694,"120000000070300000000","Current","HIFLD","HIFLD",19.71830866,-155.0989632,15001,96720,"HILO","HAWAII"
"HALAWA CORRECTIONAL FACILITY","Hawaii","state","Prison","Med","A","B",NA,NA,852,1124,10000124,"120000000070100000000","Current","HIFLD","HIFLD",21.37379134,-157.8989822,15003,96701,"AIEA","HONOLULU"
"HONOLULU FEDERAL DETENTION CENTER","Hawaii","federal","Detention Center",NA,"A","B",NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"KAUAI COMMUNITY CORRECTIONAL CENTER","Hawaii","state","Hybrid",NA,"A","B",NA,NA,159,130,10003692,"120000000070600000000","Current","HIFLD","HIFLD",22.02515252,-159.3428192,15007,96766,"LIHUE","KAUAI"
"KULANI CORRECTIONAL FACILITY","Hawaii","state","Prison",NA,"A",NA,NA,NA,184,200,10000128,NA,"Current","HIFLD","HIFLD",19.54917893,-155.3011053,15001,96720,"HILO","HAWAII"
"MAUI COMMUNITY CORRECTIONAL CENTER","Hawaii","state","Hybrid",NA,"A","B",NA,NA,452,301,10000127,"120000000070700000000","Current","HIFLD","HIFLD",20.87701605,-156.4983753,15009,96793,"WAILUKU","MAUI"
"MCCO","Hawaii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"MED","Hawaii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"OHAU COMMUNITY CORRECTIONAL CENTER","Hawaii","state","Hybrid",NA,"A","B",NA,NA,1268,950,10003691,"120000000070200000000","Current","HIFLD","HIFLD",21.32989382,-157.884874,15003,96819,"HONOLULU","HONOLULU"
"SAGUARO CORRECTIONAL CENTER","Hawaii","state","Prison",NA,"A","M","Different Operator","CoreCivic",1617,1926,10003973,"3.8000000076100002E+19","Current","HIFLD","Public Records",NA,NA,4021,85131,"ELOY","PINAL"
"STATEWIDE","Hawaii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"WOMENS COMMUNITY CORRECTIONAL CENTER","Hawaii","state","Prison",NA,"A","M",NA,NA,278,50,10000126,"120000000070500000000","Current","HIFLD","HIFLD",21.37802504,-157.7484499,15003,96734,"KAILUA","HONOLULU"
"WAIAWA CORRECTIONAL FACILITY","Hawaii","state","Prison",NA,"A","M",NA,NA,202,334,10001191,"120000000070800000000","Current","HIFLD","HIFLD",21.44465003,-157.9609092,15003,96797,"WAIPAHU","HONOLULU"
"CAPP","Idaho",NA,NA,NA,NA,NA,NA,NA,431,442,10006544,"138000000071800000000","Previous","HIFLD","HIFLD",43.46183741,-116.2357735,16001,83634,"KUNA","ADA"
"CENTRAL OFFICE","Idaho","state","Administrative",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"DISTRICT 1","Idaho","state","Geographic",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"DISTRICT 3","Idaho","state","Geographic",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"DISTRICT 4","Idaho","state","Geographic",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"DISTRICT 5","Idaho","state","Geographic",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"EAGLE PASS","Idaho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,48323,NA,NA,NA
"EAST BOISE COMMUNITY REENTRY CENTER","Idaho","state","Transitional Center","Min","A","M",NA,NA,109,150,10001184,"130000000070700000000","Current","HIFLD","HIFLD",43.60314093,-116.1638439,16001,83712,"BOISE","ADA"
"IDAHO CORRECTIONAL INSTITUTION OROFINO","Idaho","state","Prison","Med","A","M",NA,NA,576,580,10001172,"130000000070500000000","Current","HIFLD","HIFLD",46.49197836,-116.2607095,16035,83544,"OROFINO","CLEARWATER"
"IDAHO FALLS COMMUNITY REENTRY CENTER","Idaho","state","Transitional Center","Min","A","M",NA,NA,95,112,10001186,"130000000071300000000","Current","HIFLD","HIFLD",43.46230015,-112.0639693,16019,83402,"IDAHO FALLS","BONNEVILLE"
"IDAHO MAXIMUM SECURITY INSTIUTION","Idaho","state","Prison","Max","A","M",NA,NA,1473,549,10001181,"130000000070900000000","Current","HIFLD","HIFLD",43.47938786,-116.2189574,16001,83634,"KUNA","ADA"
"IDAHO STATE CORRECTIONAL CENTER","Idaho","state","Prison","Min","A","M",NA,NA,2181,128,10001183,NA,"Current","HIFLD","HIFLD",43.47119944,-116.2375874,16001,83634,"KUNA","ADA"
"IDAHO STATE CORRECTIONAL INSTITUTION","Idaho","state","Prison","Med","A","M",NA,NA,1473,446,10001181,"130000000070100000000","Current","HIFLD","HIFLD",43.47938786,-116.2189574,16001,83634,"KUNA","ADA"
"NCRC","Idaho",NA,NA,NA,NA,NA,NA,NA,96,108,10001177,"130000000070600000000","Previous","HIFLD","HIFLD",43.59891476,-116.5347832,16027,83687,"NAMPA","CANYON"
"NORTH IDAHO CORRRECTIONAL INSTIUTION","Idaho","state","Prison","Min","A","M",NA,NA,409,414,10001173,"130000000070200000000","Current","HIFLD","HIFLD",46.07917307,-116.4280588,16049,83522,"COTTONWOOD","IDAHO"
"POCATELLO WOMENS CORRECTIONAL CENTER","Idaho","state","Reception Center","Max/Min","A","F",NA,NA,323,331,10001187,"130000000071100000000","Current","HIFLD","HIFLD",42.84256222,-112.4506302,16005,83204,"POCATELLO","BANNOCK"
"SAINT ANTHONY WORK CAMP","Idaho","state","Work Camp","Min","A","M",NA,NA,253,262,10001176,"130000000071000000000","Current","HIFLD","HIFLD",43.96809846,-111.6935417,16043,83445,"ST ANTHONY","FREMONT"
"SOUTH BOISE WOMENS CORRECTIONAL CENTER","Idaho","state","Transitional Center",NA,"A","F",NA,NA,293,306,10001185,"130000000071500000000","Current","HIFLD","HIFLD",43.48338,-116.23392,16001,83634,"KUNA","ADA"
"SOUTH IDAHO CORRECTIONAL INSTIUTION","Idaho","state","Prison",NA,"A","B",NA,NA,1473,600,10001181,"130000000070800000000","Current","HIFLD","HIFLD",43.47938786,-116.2189574,16001,83634,"KUNA","ADA"
"STATEWIDE","Idaho","state","Geographic",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"TREASURE VALLEY COMMUNITY REENTRY CENTER","Idaho","state","Transitional Center","Min","A","F",NA,NA,102,108,10004339,NA,"Current","HIFLD","HIFLD",43.6574178,-116.6678165,16001,83634,"KUNA","ADA"
"ALPHA HOUSE OF SPRINGFIELD","Illinois","federal","Transitional Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"BIG MUDDY RIVER CORRECTIONAL CENTER","Illinois","state","Prison","Med","A","M",NA,NA,1218,1962,10002259,"140000000074800000000","Current","Public Records","Public Records",NA,NA,17081,62846,"INA","JEFFERSON"
"CENTRAL TERRITORIAL OF THE SALVATION ARMY DBA SALVATION ARMY CORRECTIONAL SER RRC CHICAGO","Illinois",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"140000000072500000000","Previous",NA,NA,41.8957344,-87.7096727,17031,60651,"CHICAGO",NA
"CENTRALIA CORRECTIONAL CENTER","Illinois","state","Prison","Med","A","M",NA,NA,1209,1572,10000683,NA,"Current","Public Records","Public Records",NA,NA,17027,62801,"CENTRALIA","CLINTON"
"CHICAGO IL","Illinois",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,17031,NA,NA,NA
"CHICAGO METROPOLITAN CORRECTIONAL CENTER","Illinois","federal","Prison",NA,"A","B",NA,NA,668,668,10001470,NA,"Current","HIFLD","HIFLD",41.87658453,-87.63048213,17031,60605,"CHICAGO","COOK"
"COOK COUNTY JAIL","Illinois","county","Jail",NA,NA,NA,NA,NA,8216,10000,10000634,NA,"Current","HIFLD","HIFLD",41.8425,-87.6971,17031,60608,"CHICAGO","COOK"
"CROSSROADS ADULT TRANSITION CENTER","Illinois","state","Transitional Center",NA,"A","M","Different Operator",NA,325,374,10000635,"148000000075500000000","Current","HIFLD","HIFLD",41.87048357,-87.70635938,17031,60624,"CHICAGO","COOK"
"DANVILLE CORRECTIONAL CENTER","Illinois","state","Prison","Med","A","M",NA,NA,1605,1854,10000662,"140000000074200000000","Current","HIFLD","HIFLD",40.12956679,-87.53645593,17183,61834,"DANVILLE","VERMILION"
"DECATUR CORRECTIONAL CENTER","Illinois","state","Prison","Min","A","M",NA,NA,535,707,10000669,"140000000076100000000","Current","Public Records","Public Records",NA,NA,17115,62524,"DECATUR","MACON"
"DIXON CORRECTIONAL INSTITUTE","Illinois",NA,NA,NA,NA,NA,NA,NA,2051,2529,10000642,"140000000072600000000","Previous","HIFLD","HIFLD",41.8737451,-89.47817317,17103,61021,"DIXON","LEE"
"EAST MOLINE CORRECTIONAL CENTER","Illinois","state","Prison","Min","A","M",NA,NA,1175,1383,10000644,"140000000072700000000","Current","HIFLD","HIFLD",41.53372905,-90.41912151,17161,61244,"EAST MOLINE","ROCK ISLAND"
"ELGIN TREATMENT CENTER","Illinois","state","Medical Facility","Max/Min","A","B",NA,NA,18,56,10006979,NA,"Current","Public Records","Public Records",NA,NA,17089,60123,"ELGIN","KANE"
"FOX VALLEY ADULT TRANSITION CENTER","Illinois","state","Transitional Center",NA,"A","F",NA,NA,127,128,10000638,"140000000071200000000","Current","HIFLD","HIFLD",41.78792125,-88.3202916,17089,60506,"AURORA","KANE"
"GENERAL OFFICE","Illinois","state","Administrative",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"GRAHAM CORRECTIONAL CENTER","Illinois","state","Reception Center","Med","A","M",NA,NA,1803,1596,10000674,"140000000073000000000","Current","HIFLD","HIFLD",39.12648969,-89.47493262,17135,62049,"HILLSBORO","MONTGOMERY"
"GREENVILLE FCI","Illinois",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"146003666070900000000","Previous",NA,NA,NA,NA,NA,NA,NA,NA
"HILL CORRECTIONAL CENTER","Illinois","state","Prison","Med","A","M",NA,NA,1643,1867,10000653,"140000000074300000000","Current","HIFLD","HIFLD",40.93974548,-90.40695799,17095,61401,"GALESBURG","KNOX"
"ILLINOIS RIVER CORRECTIONAL CENTER","Illinois","state","Prison","Med","A","M",NA,NA,1770,2094,10000660,"140000000074500000000","Current","HIFLD","Public Records",NA,NA,17057,61520,"CANTON","FULTON"
"JACKSONVILLE CORRECTIONAL CENTER","Illinois","state","Prison","Min","A","M",NA,NA,965,1020,10000671,"140000000073100000000","Current","HIFLD","HIFLD",39.72668976,-90.17561449,17137,62650,"JACKSONVILLE","MORGAN"
"JOLIET TREATMENT CENTER","Illinois","state","Medical Facility",NA,"A","M",NA,NA,196,486,10000646,NA,"Current","HIFLD","HIFLD",41.51234669,-88.15264614,17197,60436,"JOLIET","WILL"
"KEWANEE LIFE SKILLS REENTRY CENTER","Illinois","state","Transitional Center",NA,"A","M",NA,NA,278,682,10004677,NA,"Current","HIFLD","HIFLD",41.25333209,-89.89171233,17073,61443,"KEWANEE","HENRY"
"LAWRENCE CORRECTIONAL CENTER","Illinois","state","Prison","Med","A","M",NA,NA,2042,2380,10000682,"140000000076800000000","Current","Public Records","Public Records",NA,NA,17101,62466,"SUMNER","LAWRENCE"
"LINCOLN CORRECTIONAL CENTER","Illinois","state","Prison","Min","A","M",NA,NA,964,1019,10000664,"140000000073200000000","Current","Public Records","Public Records",NA,NA,17107,62656,"LINCOLN","LOGAN"
"LINCOLN CORRECTIONAL CENTER","Illinois","state","Prison","Min","A","M",NA,NA,964,1019,10004138,"140000000073200000000","Current","Public Records","Public Records",NA,NA,31109,68522,"LINCOLN","LANCASTER"
"LOGAN CORRECTIONAL CENTER","Illinois","state","Prison",NA,"A","F",NA,NA,1588,1667,10000665,"140000000070600000000","Current","HIFLD","HIFLD",40.1140649,-89.3881401,17107,62656,"LINCOLN","LOGAN"
"MARION UNITED STATES PENITENTIARY","Illinois","federal","Prison","Med/Min","A","M",NA,NA,1129,1129,10000694,"146100666070600000000","Current","HIFLD","HIFLD",37.66315314,-88.98406132,17199,62959,"MARION","WILLIAMSON"
"MENARD CORRECTIONAL CENTER","Illinois","state","Prison","Max/Min","A","M",NA,NA,1834,3861,10000687,"140000000070200000000","Current","HIFLD","HIFLD",37.91268569,-89.84197817,17157,62259,"MENARD","RANDOLPH"
"MMC CHICAGO","Illinois",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,17031,NA,NA,NA
"MURPHYSBORO CORRECTIONAL CENTER","Illinois","state","Transitional Center","Min","A","M",NA,NA,171,240,NA,NA,"Current","Public Records","Public Records",NA,NA,NA,NA,NA,NA
"NORTH LAWNDALE ADULT TRANSITION CENTER","Illinois","state","Transitional Center",NA,"A","M",NA,NA,200,208,10000636,"148000000076600000000","Current","HIFLD","HIFLD",41.868038,-87.697785,17031,60612,"CHICAGO","COOK"
"PAROLE","Illinois","state","Geographic",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"PEKIN FEDERAL CORRECTIONAL INSTITUTION","Illinois","federal","Prison","Med/Min","A","F",NA,NA,NA,NA,NA,"146090666070800000000","Current",NA,NA,NA,NA,NA,NA,NA,NA
"PEORIA ADULT TRANSITION CENTER","Illinois","state","Transitional Center",NA,"A","M",NA,NA,244,248,NA,"140000000074100000000","Current","Public Records","Public Records",NA,NA,NA,NA,NA,NA
"PINCKNEYVILLE CORRECTIONAL CENTER","Illinois","state","Prison","Med","A","M",NA,NA,1901,2389,10000688,"140000000076000000000","Current","Public Records","Public Records",NA,NA,17145,62274,"PINCKNEYVILLE","PERRY"
"PONTIAC CORRECTIONAL CENTER","Illinois","state","Prison","Max","A","M",NA,NA,1160,1255,10000655,"140000000070500000000","Current","HIFLD","HIFLD",40.86928355,-88.63603689,17105,61764,"PONTIAC","LIVINGSTON"
"ROBINSON CORRECTIONAL CENTER","Illinois","state","Prison","Min","A","M",NA,NA,1121,1223,10000678,"140000000074700000000","Current","Public Records","Public Records",NA,NA,17033,62454,"ROBINSON","CRAWFORD"
"RRC CHICAGO IL","Illinois",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,17031,NA,NA,NA
"SHAWNEE CORRECTIONAL CENTER","Illinois","state","Prison","Med","A","M",NA,NA,1576,1863,10000695,"140000000074000000000","Current","Public Records","Public Records",NA,NA,17087,62995,"VIENNA","JOHNSON"
"SHERIDAN CORRECTIONAL CENTER","Illinois","state","Prison","Med","A","M",NA,NA,1670,1579,10000652,"140000000070900000000","Current","HIFLD","HIFLD",41.51604912,-88.68465975,17099,60551,"SHERIDAN","LA SALLE"
"SOUTHWESTERN ILLINOIS CORRECTIONAL CENTER","Illinois","state","Prison","Min","A","M",NA,NA,598,631,10000685,"140000000075110011401","Current","HIFLD","HIFLD",38.61691302,-90.0908182,17163,62203,"EAST ST LOUIS","ST CLAIR"
"STATEVILLE CORRECTIONAL CENTER","Illinois","state","Prison","Max","A","M",NA,NA,1262,4134,10000647,"140000000072300000000","Current","HIFLD","HIFLD",41.57873778,-88.09456267,17197,60434,"JOLIET","WILL"
"STATEVILLE NORTHERN RECEPTION AND CLASSIFICATION CENTER","Illinois","state","Reception Center",NA,"A","M",NA,NA,1173,1800,10000647,NA,"Current","HIFLD","HIFLD",41.57873778,-88.09456267,17197,60434,"JOLIET","WILL"
"TAYLORVILLE CORRECTIONAL CENTER","Illinois","state","Prison","Min","A","M",NA,NA,1028,1221,10000673,"140000000075300000000","Current","Public Records","Public Records",NA,NA,17021,62568,"TAYLORVILLE","CHRISTIAN"
"THOMSON UNITED STATES PENITENTIARY","Illinois","federal","Prison","Max/Min","A","M",NA,NA,703,703,10000633,NA,"Current","HIFLD","HIFLD",41.97296619,-90.10929881,17015,61285,"THOMSON","CARROLL"
