Name.Raw,Name.Clean,State,Jurisdiction,Is.Federal
WHEELER,WHEELER STATE JAIL,Texas,state,0
WILLACY PRISON,WILLACY STATE JAIL,Texas,state,0
WOODMAN,WOODMAN UNIT,Texas,state,0
WYNNE,WYNNE UNIT,Texas,state,0
ATHERTON COMMUNITY TREATMENT CENTER,ATHERTON COMMUNITY TREATMENT CENTER,Utah,state,0
BONNEVILLE COMMUNITY CORRECTIONAL CENTER,BONNEVILLE COMMUNITY CORRECTIONAL CENTER,Utah,state,0
CENTRAL UTAH CORRECTIONAL FACILITY GUNNISON,CENTRAL UTAH CORRECTIONAL FACILITY GUNNISON,Utah,state,0
FORTITUDE TREATMENT CENTER,FORTITUDE TREATMENT CENTER,Utah,state,0
NORTHERN UTAH COMMUNITY CORRECTIONAL CENTER,NORTHERN UTAH COMMUNITY CORRECTIONAL CENTER,Utah,state,0
ORANGE STREET COMMUNITY CORRECTIONAL CENTER,ORANGE STREET COMMUNITY CORRECTIONAL CENTER,Utah,state,0
UDC INMATES HOUSED AT A COUNTY JAIL,UDC INMATES HOUSED AT A COUNTY JAIL,Utah,state,0
UTAH STATE PRISON DRAPER,UTAH STATE PRISON DRAPER,Utah,state,0
BAPP,BARRE PROBATION AND PAROLE,Vermont,state,0
BEPP,BENNINGTON PROBATION AND PAROLE,Vermont,state,0
BRPP,BRATTLEBORO PROBATION AND PAROLE,Vermont,state,0
BUPP,BURLINGTON PROBATION AND PAROLE,Vermont,state,0
CRCF,CHITTENDEN REGIONAL CORRECTIONAL FACILITY,Vermont,state,0
HAPP,HARTFORD PROBATION AND PAROLE,Vermont,state,0
MIPP,MIPP,Vermont,state,0
MOPP,MORRISVILLE PROBATION AND PAROLE,Vermont,state,0
MVRCF,MARBLE VALLEY REGIONAL CORRECTIONAL FACILITY,Vermont,state,0
NECC,NORTHEAST CORRECTIONAL COMPLEX,Tennessee,state,0
NEPP,NEWPORT PROBATION AND PAROLE,Vermont,state,0
NSCF,NORTHERN STATE CORRECTIONAL FACILITY,Vermont,state,0
NWSCF,NORTHWEST STATE CORRECTIONAL FACILITY,Vermont,state,0
RUPP,RUTLAND PROBATION AND PAROLE,Vermont,state,0
SAPP,SAINT ALBANS PROBATION AND PAROLE,Vermont,state,0
SJPP,SAINT JOHNSBURY PROBATION AND PAROLE,Vermont,state,0
SSCF,SOUTHERN STATE CORRECTIONAL FACILITY,New Jersey,state,0
VIRGINIA BEACH JAIL,VIRGINIA BEACH JAIL,Virginia,county,0
GHENT RESIDENTIAL REENTRY CENTER,GHENT RESIDENTIAL REENTRY CENTER,Virginia,federal,1
LEE UNITED STATES PENITENTIARY,LEE UNITED STATES PENITENTIARY,Virginia,federal,1
PETERSBURG LOW FEDERAL CORRECTIONAL INSTITUTION,PETERSBURG LOW FEDERAL CORRECTIONAL INSTITUTION,Virginia,federal,1
PETERSBURG MEDIUM FEDERAL CORRECTIONAL INSTITUTION,PETERSBURG MEDIUM FEDERAL CORRECTIONAL INSTITUTION,Virginia,federal,1
ADMINISTRATION OPERATIONS,ADMINISTRATION OPERATIONS,Virginia,state,0
APPALACHIAN MENS CORRECTIONAL CENTERAP,APPALACHIAN MENS COMMUNITY CORRECTIONS ALTERNATIVE PROGRAM,Virginia,state,0
AUGUSTA CORRECTIONAL CENTER,AUGUSTA CORRECTIONAL CENTER,Virginia,state,0
BASKERVILLE CORRECTIONAL CENTER,BASKERVILLE CORRECTIONAL CENTER,Virginia,state,0
BLAND CORRECTIONAL CENTER,BLAND CORRECTIONAL CENTER,Virginia,state,0
BRUNSWICK CORRECTIONAL CENTERAP,BRUNSWICK COMMUNITY CORRECTIONS ALTERNATIVE PROGRAM,Virginia,state,0
BUCKINGHAM CORRECTIONAL CENTER,BUCKINGHAM CORRECTIONAL CENTER,Virginia,state,0
CAROLINE CORRECTIONAL UNIT,CAROLINE CORRECTIONAL UNIT,Virginia,state,0
CENTRAL VIRGINIA CORRECTIONAL UNIT 13,CENTRAL VIRGINIA CORRECTIONAL UNIT 13,Virginia,state,0
CHESTERFIELD WOMENS CORRECTIONAL CENTERAP,CHESTERFIELD WOMENS COMMUNITY CORRECTIONS ALTERNATIVE PROGRAM,Virginia,state,0
COFFEEWOOD CORRECTIONAL CENTER,COFFEEWOOD CORRECTIONAL CENTER,Virginia,state,0
COLD SPRINGS CORRECTIONAL CENTERAP,COLD SPRINGS COMMUNITY CORRECTIONS ALTERNATIVE PROGRAM,Virginia,state,0
COLD SPRINGS CORRECTIONAL UNIT 10,COLD SPRINGS CORRECTIONAL UNIT 10,Virginia,state,0
DEERFIELD CORRECTIONAL CENTER INCLUDES DEERFIELD WORK CENTERS,DEERFIELD CORRECTIONAL CENTER INCLUDES DEERFIELD WORK CENTERS,Virginia,state,0
DILLWYN CORRECTIONAL CENTER,DILLWYN CORRECTIONAL CENTER,Virginia,state,0
FLUVANNA CORRECTIONAL CENTER FOR WOMEN,FLUVANNA CORRECTIONAL CENTER FOR WOMEN,Virginia,state,0
GREEN ROCK CORRECTIONAL CENTER,GREEN ROCK CORRECTIONAL CENTER,Virginia,state,0
GREENSVILLE CORRECTIONAL CENTER INCLUDES GREENSVILLE WORK CENTER,GREENSVILLE CORRECTIONAL CENTER INCLUDES GREENSVILLE WORK CENTER,Virginia,state,0
HALIFAX CORRECTIONAL UNIT,HALIFAX CORRECTIONAL UNIT,Virginia,state,0
HARRISONBURG MENS CORRECTIONAL CENTERAP,HARRISONBURG MENS COMMUNITY CORRECTIONS ALTERNATIVE PROGRAM,Virginia,state,0
HAYNESVILLE CORRECTIONAL CENTER,HAYNESVILLE CORRECTIONAL CENTER,Virginia,state,0
HAYNESVILLE CORRECTIONAL UNIT 17,HAYNESVILLE CORRECTIONAL UNIT 17,Virginia,state,0
INDIAN CREEK CORRECTIONAL CENTER,INDIAN CREEK CORRECTIONAL CENTER,Virginia,state,0
KEEN MOUNTAIN CORRECTIONAL CENTER,KEEN MOUNTAIN CORRECTIONAL CENTER,Virginia,state,0
LAWRENCEVILLE CORRECTIONAL CENTER,LAWRENCEVILLE CORRECTIONAL CENTER,Virginia,state,0
LUNENBURG CORRECTIONAL CENTER,LUNENBURG CORRECTIONAL CENTER,Virginia,state,0
MARION CORRECTIONAL TREATMENT CENTER,MARION CORRECTIONAL TREATMENT CENTER,Virginia,state,0
NOTTOWAY CORRECTIONAL CENTER INCLUDES NOTTOWAY WORK CENTER,NOTTOWAY CORRECTIONAL CENTER INCLUDES NOTTOWAY WORK CENTER,Virginia,state,0
PATRICK HENRY CORRECTIONAL UNIT,PATRICK HENRY CORRECTIONAL UNIT,Virginia,state,0
POCAHONTAS STATE CORRECTIONAL CENTER,POCAHONTAS STATE CORRECTIONAL CENTER,Virginia,state,0
PROBATION PAROLE CENTRAL REGION,PROBATION PAROLE CENTRAL REGION,Virginia,state,0
PROBATION PAROLE EASTERN REGION,PROBATION PAROLE EASTERN REGION,Virginia,state,0
PROBATION PAROLE WESTERN REGION,PROBATION PAROLE WESTERN REGION,Virginia,state,0
RED ONION STATE PRISON,RED ONION STATE PRISON,Virginia,state,0
RIVER NORTH CORRECTIONAL CENTER,RIVER NORTH CORRECTIONAL CENTER,Virginia,state,0
RUSTBURG CORRECTIONAL UNIT,RUSTBURG CORRECTIONAL UNIT,Virginia,state,0
ST BRIDES CORRECTIONAL CENTER,ST BRIDES CORRECTIONAL CENTER,Virginia,state,0
STAFFORD MENS CORRECTIONAL CENTERAP,STAFFORD MENS COMMUNITY CORRECTIONS ALTERNATIVE PROGRAM,Virginia,state,0
STATE FARM CORRECTIONAL COMPLEX,STATE FARM CORRECTIONAL COMPLEX,Virginia,state,0
SUSSEX I STATE PRISON,SUSSEX I STATE PRISON,Virginia,state,0
SUSSEX II STATE PRISON,SUSSEX II STATE PRISON,Virginia,state,0
VIRGINIA CORRECTIONAL CENTER FOR WOMEN INCLUDES STATE FARM WORK CENTER,VIRGINIA CORRECTIONAL CENTER FOR WOMEN INCLUDES STATE FARM WORK CENTER,Virginia,state,0
WALLENS RIDGE STATE PRISON,WALLENS RIDGE STATE PRISON,Virginia,state,0
WISE CORRECTIONAL UNIT,WISE CORRECTIONAL UNIT,Virginia,state,0
SEATAC FEDERAL DETENTION CENTER,SEATAC FEDERAL DETENTION CENTER,Washington,federal,1
AHTANUM VIEW WORK RELEASE,AHTANUM VIEW WORK RELEASE,Washington,state,0
AIRWAY HEIGHTS CORRECTIONS CENTER,AIRWAY HEIGHTS CORRECTIONS CENTER,Washington,state,0
BELLINGHAM WORK RELEASE,BELLINGHAM WORK RELEASE,Washington,state,0
BISHOP LEWIS WORK RELEASE,BISHOP LEWIS WORK RELEASE,Washington,state,0
BROWNSTONE WORK RELEASE,BROWNSTONE WORK RELEASE,Washington,state,0
CAPTAIN JIMMIE EVANS REGIONAL PERFORMANCE CENTER MONROE WA,CAPTAIN JIMMIE EVANS REGIONAL PERFORMANCE CENTER,Washington,state,0
CEDAR CREEK CORRECTIONS CENTER,CEDAR CREEK CORRECTIONS CENTER,Washington,state,0
CLALLAM BAY CORRECTIONS CENTER,CLALLAM BAY CORRECTIONS CENTER,Washington,state,0
COMMUNITY CORRECTIONS SECTION 1,COMMUNITY CORRECTIONS SECTION 1,Washington,state,0
COMMUNITY CORRECTIONS SECTION 2,COMMUNITY CORRECTIONS SECTION 2,Washington,state,0
COMMUNITY CORRECTIONS SECTION 3,COMMUNITY CORRECTIONS SECTION 3,Washington,state,0
COMMUNITY CORRECTIONS SECTION 4,COMMUNITY CORRECTIONS SECTION 4,Washington,state,0
COMMUNITY CORRECTIONS SECTION 5,COMMUNITY CORRECTIONS SECTION 5,Washington,state,0
COMMUNITY CORRECTIONS SECTION 6,COMMUNITY CORRECTIONS SECTION 6,Washington,state,0
COMMUNITY CORRECTIONS SECTION 7,COMMUNITY CORRECTIONS SECTION 7,Washington,state,0
COMMUNITY MEDICAL CENTER,COMMUNITY MEDICAL CENTER,Washington,state,0
COYOTE RIDGE CORRECTIONS CENTER,COYOTE RIDGE CORRECTIONS CENTER,Washington,state,0
ELEANOR CHASE HOUSE WORK RELEASE,ELEANOR CHASE HOUSE WORK RELEASE,Washington,state,0
HELEN B RATCLIFF WORK RELEASE,HELEN B RATCLIFF WORK RELEASE,Washington,state,0
LARCH CORRECTIONS CENTER,LARCH CORRECTIONS CENTER,Washington,state,0
LONGVIEW WORK RELEASE,LONGVIEW WORK RELEASE,Washington,state,0
MILL CREEK REGIONAL PERFORMANCE CENTER WALLA WALLA WA,MILL CREEK REGIONAL PERFORMANCE CENTER WALLA WALLA WA,Washington,state,0
MISSION CREEK CORRECTIONS CENTER FOR WOMEN,MISSION CREEK CORRECTIONS CENTER FOR WOMEN,Washington,state,0
MONROE CORRECTIONAL COMPLEX,MONROE CORRECTIONAL COMPLEX,Washington,state,0
OLYMPIA AREA OFFICES,OLYMPIA AREA OFFICES,Washington,state,0
OLYMPIA WORK RELEASE,OLYMPIA WORK RELEASE,Washington,state,0
OLYMPIC CORRECTIONS CENTER,OLYMPIC CORRECTIONS CENTER,Washington,state,0
PENINSULA WORK RELEASE,PENINSULA WORK RELEASE,Washington,state,0
PROGRESS HOUSE WORK RELEASE,PROGRESS HOUSE WORK RELEASE,Washington,state,0
REYNOLDS WORK RELEASE,REYNOLDS WORK RELEASE,Washington,state,0
SOUTHWEST REGION PERFORMANCE CENTER LACEY WA,SOUTHWEST REGION PERFORMANCE CENTER LACEY WA,Washington,state,0
STAFFORD CREEK CORRECTIONS CENTER,STAFFORD CREEK CORRECTIONS CENTER,Washington,state,0
TRICITIES WORK RELEASE,TRICITIES WORK RELEASE,Washington,state,0
WASHINGTON CORRECTIONS CENTER,WASHINGTON CORRECTIONS CENTER,Washington,state,0
WASHINGTON CORRECTIONS CENTER FOR WOMEN,WASHINGTON CORRECTIONS CENTER FOR WOMEN,Washington,state,0
WASHINGTON CORRECTIONS CENTER FOR WOMEN GIG HARBOR,WASHINGTON CORRECTIONS CENTER FOR WOMEN,Washington,state,0
WASHINGTON CORRECTIONS CENTER SHELTON,WASHINGTON CORRECTIONS CENTER SHELTON,Washington,state,0
WASHINGTON STATE PENITENTIARY,WASHINGTON STATE PENITENTIARY,Washington,state,0
ALDERSON FEDERAL PRISON CAMP,ALDERSON FEDERAL PRISON CAMP,West Virginia,federal,1
BECKLEY FEDERAL CORRECTIONAL INSTITUTION,BECKLEY FEDERAL CORRECTIONAL INSTITUTION,West Virginia,federal,1
GILMER FEDERAL CORRECTIONAL INSTITUTION,GILMER FEDERAL CORRECTIONAL INSTITUTION,West Virginia,federal,1
HAZELTON FEDERAL CORRECTIONAL INSTITUTION,HAZELTON FEDERAL CORRECTIONAL INSTITUTION,West Virginia,federal,1
HAZELTON UNITED STATES PENITENTIARY,HAZELTON UNITED STATES PENITENTIARY,West Virginia,federal,1
MCDOWELL FEDERAL CORRECTIONAL INSTITUTION,MCDOWELL FEDERAL CORRECTIONAL INSTITUTION,West Virginia,federal,1
MORGANTOWN FEDERAL CORRECTIONAL INSTITUTION,MORGANTOWN FEDERAL CORRECTIONAL INSTITUTION,West Virginia,federal,1
BECKLEY BCC,BLECKLEY CORRECTIONAL CENTER,West Virginia,state,0
CENTRAL CRJ,CENTRAL REGIONAL JAIL,West Virginia,state,0
CHARLESTON CORRECTIONAL CENTERC,CHARLESTON CORRECTIONAL CENTER,West Virginia,state,0
DENMAR DCC,DENMAR CORRECTIONAL CENTER,West Virginia,state,0
DONALD R KUHN DRK,DONALD R KUHN JUVENILE CENTER,West Virginia,state,0
EASTERN ERJ,EASTERN REGIONAL JAIL,West Virginia,state,0
GENE SPADARO GSJC,GENE SPADARO JUVENILE CENTER,West Virginia,state,0
HUTTONSVILLE HCC,HUTTONSVILLE CORRECTIONAL CENTER,West Virginia,state,0
JAMES H TIGER MORTON TMJC,TIGER MORTON JUVENILE CENTER,West Virginia,state,0
JM CHICK BUCKBEE CBJC,CHICK BUCKBEE JUVENILE CENTER,West Virginia,state,0
KENNETH HONEY RUBENSTEIN RC,KENNETH HONEY RUBENSTEIN JUVENILE CENTER,West Virginia,state,0
LAKIN LCC,LAKIN CORRECTIONAL CENTER,West Virginia,state,0
LORRIE YEAGER JR LYJC,LORRIE YEAGER JUVENILE CENTER,West Virginia,state,0
MARTINSBURG MCC,MARTINSBURG CORRECTIONAL CENTER,West Virginia,state,0
MCDOWELL MCDO CONTRACT,MCDOWELL COUNTY CORRECTIONAL CENTER,West Virginia,state,0
MOUNT OLIVE MOCC,MOUNT OLIVE CORRECTIONAL CENTER,West Virginia,state,0
NORTH CENTRAL NCRJ,NORTH CENTRAL REGIONAL JAIL,West Virginia,state,0
NORTHERN NCF,NORTHERN CORRECTIONAL FACILITY,West Virginia,state,0
NORTHERN NRJ,NORTHERN REGIONAL FACILITY,West Virginia,state,0
OHIO COUNTY OCCC,OHIO COUNTY CORRECTIONAL CENTER,West Virginia,state,0
PARKERSBURG PBCC,PARKERSBURG CORRECTIONAL CENTER,West Virginia,state,0
POTOMAC HIGHLANDS PHRJ,POTOMAC HIGHLANDS REGIONAL JAIL,West Virginia,state,0
PRUNTYTOWN PCC,PRUNTYTOWN CORRECTIONAL CENTER,West Virginia,state,0
ROBERT L SHELL RSJC,ROBERT SHELL JUVENILE CENTER,West Virginia,state,0
RONALD MULHOLLAND RMJC CONTRACT,RONALD MULHOLLAND JUVENILE CENTER,West Virginia,state,0
SAINT MARYS SMCC,SAINT MARYS CORRECTIONAL CENTER,West Virginia,state,0
SALEM SCC,SALEM CORRECTIONAL CENTER,West Virginia,state,0
SAM PERDUE SPJC,SAM PERDUE JUVENILE CENTER,West Virginia,state,0
SOUTH CENTRAL SCRJ,SOUTH CENTRAL REGIONAL JAIL,West Virginia,state,0
SOUTHERN SRJ,SOUTHERN REGIONAL JAIL,West Virginia,state,0
SOUTHWESTERN SWRJ,SOUTHWESTERN REGIONAL JAIL,West Virginia,state,0
TYGART VALLEY TVRJ,TYGART VALLEY REGIONAL JAIL,West Virginia,state,0
VICKI V DOUGLAS VDJC,VICKI DOUGLAS JUVENILE CENTER,West Virginia,state,0
WESTERN WRJ,WESTERN REGIONAL JAIL,West Virginia,state,0
CRIMINALJUSTICE FACILITY,CRIMINALJUSTICE FACILITY,Wisconsin,county,0
HOUSE OF CORRECTION,HOUSE OF CORRECTION,Wisconsin,county,0
JUVENILE JUSTICE CENTER,JUVENILE JUSTICE CENTER,Wisconsin,county,0
OXFORD FEDERAL CORRECTIONAL INSTITUTION,OXFORD FEDERAL CORRECTIONAL INSTITUTION,Wisconsin,federal,1
AUXILIARY UNITS,AUXILIARY UNITS,Wisconsin,state,0
BLACK RIVER CORRECTIONAL CENTER,BLACK RIVER CORRECTIONAL CENTER,Wisconsin,state,0
CHIPPEWA VALLEY CORRECTIONAL TREATMENT FACILITY,CHIPPEWA VALLEY CORRECTIONAL TREATMENT FACILITY,Wisconsin,state,0
COPPER LAKE SCHOOL LINCOLN HILLS SCHOOL,COPPER LAKE SCHOOL LINCOLN HILLS SCHOOL,Wisconsin,state,0
DIVISION OF COMMUNITY CORRECTIONS TOTAL,DIVISION OF COMMUNITY CORRECTIONS TOTAL,Wisconsin,state,0
DIVISION OF JUVENILE CORRECTIONS FACILITIES,DIVISION OF JUVENILE CORRECTIONS FACILITIES,Wisconsin,state,0
DIVISION OF JUVENILE CORRECTIONS FIELD,DIVISION OF JUVENILE CORRECTIONS FIELD,Wisconsin,state,0
DODGE CORRECTIONAL INSTITUTION,DODGE CORRECTIONAL INSTITUTION,Wisconsin,state,0
DRUG ABUSE CORRECTIONAL CENTER,DRUG ABUSE CORRECTIONAL CENTER,Wisconsin,state,0
FELMERS O CHANEY CORRECTIONAL CENTER,FELMERS O CHANEY CORRECTIONAL CENTER,Wisconsin,state,0
FLAMBEAU CORRECTIONAL CENTER,FLAMBEAU CORRECTIONAL CENTER,Wisconsin,state,0
FOX LAKE CORRECTIONAL INSTITUTION,FOX LAKE CORRECTIONAL INSTITUTION,Wisconsin,state,0
GORDON CORRECTIONAL CENTER,GORDON CORRECTIONAL CENTER,Wisconsin,state,0
GREEN BAY CORRECTIONAL INSTITUTION,GREEN BAY CORRECTIONAL INSTITUTION,Wisconsin,state,0
GROW ACADEMY,GROW ACADEMY,Wisconsin,state,0
JOHN C BURKE CORRECTIONAL CENTER,JOHN C BURKE CORRECTIONAL CENTER,Wisconsin,state,0
KENOSHA CORRECTIONAL CENTER,KENOSHA CORRECTIONAL CENTER,Wisconsin,state,0
KETTLE MORAINE CORRECTIONAL INSTITUTION,KETTLE MORAINE CORRECTIONAL INSTITUTION,Wisconsin,state,0
MARSHALL E SHERRER CORRECTIONAL CENTER,MARSHALL E SHERRER CORRECTIONAL CENTER,Wisconsin,state,0
MCNAUGHTON CORRECTIONAL CENTER,MCNAUGHTON CORRECTIONAL CENTER,Wisconsin,state,0
MILWAUKEE SECURE DETENTION FACILITY,MILWAUKEE SECURE DETENTION FACILITY,Wisconsin,state,0
MILWAUKEE WOMENS CORRECTIONAL CENTER,MILWAUKEE WOMENS CORRECTIONAL CENTER,Wisconsin,state,0
NEW LISBON CORRECTIONAL INSTITUTIO,NEW LISBON CORRECTIONAL INSTITUTIO,Wisconsin,state,0
NEW LISBON CORRECTIONAL INSTITUTION,NEW LISBON CORRECTIONAL INSTITUTION,Wisconsin,state,0
OAKHILL CORRECTIONAL INSTITUTION,OAKHILL CORRECTIONAL INSTITUTION,Wisconsin,state,0
OREGON CORRECTIONAL CENTER,OREGON CORRECTIONAL CENTER,Wisconsin,state,0
OSHKOSH CORRECTIONAL INSTITUTION,OSHKOSH CORRECTIONAL INSTITUTION,Wisconsin,state,0
PRAIRIE DU CHIEN CORRECTIONAL INSTITUTION,PRAIRIE DU CHIEN CORRECTIONAL INSTITUTION,Wisconsin,state,0
RACINE CORRECTIONAL INSTITUTION,RACINE CORRECTIONAL INSTITUTION,Wisconsin,state,0
STURTEVANT TRANSITIONAL FACILITY,STURTEVANT TRANSITIONAL FACILITY,Wisconsin,state,0
RACINE YOUTHFUL OFFENDER CORRECTIONAL FACILITY,RACINE YOUTHFUL OFFENDER CORRECTIONAL FACILITY,Wisconsin,state,0
REDGRANITE CORRECTIONAL INSTITUTION,REDGRANITE CORRECTIONAL INSTITUTION,Wisconsin,state,0
ROBERT E ELLSWORTH CORRECTIONAL CENTER,ROBERT E ELLSWORTH CORRECTIONAL CENTER,Wisconsin,state,0
SANGER B POWERS CORRECTIONAL CENTER,SANGER B POWERS CORRECTIONAL CENTER,Wisconsin,state,0
ST CROIX CORRECTIONAL CENTER,SAINT CROIX CORRECTIONAL CENTER,Wisconsin,state,0
STANLEY CORRECTIONAL INSTITUTION,STANLEY CORRECTIONAL INSTITUTION,Wisconsin,state,0
TAYCHEEDAH CORRECTIONAL INSTITUTION,TAYCHEEDAH CORRECTIONAL INSTITUTION,Wisconsin,state,0
THOMPSON CORRECTIONAL CENTER,THOMPSON CORRECTIONAL CENTER,Wisconsin,state,0
WAUPUN CORRECTIONAL INSTITUTION,WAUPUN CORRECTIONAL INSTITUTION,Wisconsin,state,0
WINNEBAGO CORRECTIONAL CENTER,WINNEBAGO CORRECTIONAL CENTER,Wisconsin,state,0
WISCONSIN SECURE PROGRAM FACILITY,WISCONSIN SECURE PROGRAM FACILITY,Wisconsin,state,0
WOMENS CENTER IN LUSK,WOMENS CENTER IN LUSK,Wyoming,state,0
WYOMING HONOR CONSERVATION CAMP,WYOMING HONOR CONSERVATION CAMP,Wyoming,state,0
WYOMING HONOR FARM,WYOMING HONOR FARM,Wyoming,state,0
WYOMING MEDIUM CORRECTIONAL INSTITUTION,WYOMING MEDIUM CORRECTIONAL INSTITUTION,Wyoming,state,0
WYOMING STATE PENITENTIARY,WYOMING STATE PENITENTIARY,Wyoming,state,0
TUTWILER,TUTWILER PRISON FOR WOMEN,Alabama,state,0
EYEMAN,EYMAN STATE PRISON,Arizona,state,0
FLORENCE AZ STATE PRISON COMPLEX,FLORENCE STATE PRISON,Arizona,state,0
MARANA COMMUNITY CORRECTIONAL TREATMENT FACILITY,MARANA STATE PRISON,Arizona,state,0
ASP AVENAL STATE PRISON,AVENAL STATE PRISON,California,state,0
CAL CALIPATRIA STATE PRISON,CALIPATRIA STATE PRISON,California,state,0
CCC CALIFORNIA CORRECTIONAL CENTER,CALIFORNIA CORRECTIONAL CENTER,California,state,0
CCI CALIFORNIA CORRECTIONAL INSTITUTION,CALIFORNIA CORRECTIONAL INSTITUTION,California,state,0
CCWF CENTRAL CA WOMENS FACILITY,CENTRAL CALIFORNIA WOMENS FACILITY,California,state,0
CEN CALIFORNIA STATE PRISON CENTINELA,CENTINELA STATE PRISON,California,state,0
CHCF CALIFORNIA HEALTH CARE FACILITY,CALIFORNIA HEALTH CARE FACILITY,California,state,0
CIM CALIFORNIA INSTITUTION FOR MEN,CALIFORNIA INSTITUTION FOR MEN,California,state,0
CIW CALIFORNIA INSTITUTION FOR WOMEN,CALIFORNIA INSTITUTION FOR WOMEN,California,state,0
CMC CALIFORNIA MENS COLONY,CALIFORNIA MENS COLONY,California,state,0
CMF CALIFORNIA MEDICAL FACILITY,CALIFORNIA MEDICAL FACILITY,California,state,0
COR CALIFORNIA STATE PRISON CORCORAN,CALIFORNIA STATE PRISON CORCORAN,California,state,0
CRC CALIFORNIA REHABILITATION CENTER,CALIFORNIA REHABILITATION CENTER,California,state,0
CTF CORRECTIONAL TRAINING FACILITY,CORRECTIONAL TRAINING FACILITY,California,state,0
CVSP CHUCKAWALLA VALLEY STATE PRISON,CHUCKAWALLA VALLEY STATE PRISON,California,state,0
DVI DEUEL VOCATIONAL INSTITUTION,DEUEL VOCATIONAL INSTITUTION,California,state,0
FSP FOLSOM STATE PRISON,FOLSOM STATE PRISON,California,state,0
HDSP HIGH DESERT STATE PRISON,HIGH DESERT STATE PRISON,California,state,0
ISP IRONWOOD STATE PRISON,IRONWOOD STATE PRISON,California,state,0
KVSP KERN VALLEY STATE PRISON,KERN VALLEY STATE PRISON,California,state,0
LAC CALIFORNIA STATE PRISON LOS ANGELES COUNTY,CALIFORNIA STATE PRISON LOS ANGELES,California,state,0
MCSP MULE CREEK STATE PRISON,MULE CREEK STATE PRISON,California,state,0
CHADERJIAN YOUTH CORRECTIONAL FACILITY,NA CHADERJIAN YOUTH CORRECTIONAL FACILITY,California,state,0
NCYCC NORTHERN CALIFORNIA YOUTH CORRECTIONAL CENTER,NORTHERN CALIFORNIA YOUTH CORRECTIONAL CENTER,California,state,0
NKSP NORTH KERN STATE PRISON,NORTH KERN STATE PRISON,California,state,0
OH CLOSE YOUTH CORRECTIONAL FACILITY,OH CLOSE YOUTH CORRECTIONAL FACILITY,California,state,0
PVSP PLEASANT VALLEY STATE PRISON,PLEASANT VALLEY STATE PRISON,California,state,0
RICHARD A MCGEE CORRECTIONAL TRAINING CENTER GALT,RICHARD A MCGEE CORRECTIONAL TRAINING CENTER,California,state,0
RJD RICHARD J DONOVAN CORRECTIONAL FACILITY,RJ DONOVAN CORRECTIONAL FACILITY,California,state,0
SAC CALIFORNIA STATE PRISON SACRAMENTO,CALIFORNIA STATE PRISON SACRAMENTO,California,state,0
SATF CSP CALIFORNIA SUBSTANCE ABUSE TREATMENT FACILITY AND STATE PRISON CORCORAN,CALIFORNIA STATE PRISON CORCORAN,California,state,0
SCC SIERRA CONSERVATION CENTER,SIERRA CONSERVATION CENTER,California,state,0
SOL CALIFORNIA STATE PRISON SOLANO,CALIFORNIA STATE PRISON SOLANO,California,state,0
SQ CA STATE PRISON SAN QUENTIN,CALIFORNIA STATE PRISON SAN QUENTIN,California,state,0
SATF SUBSTANCE ABUSE TREATMENT FACILITY,SUBSTANCE ABUSE TREATMENT FACILITY,California,state,0
SVSP SALINAS VALLEY STATE PRISON,SALINAS VALLEY STATE PRISON,California,state,0
VSP VALLEY STATE PRISON,VALLEY STATE PRISON,California,state,0
CDCR CCHCS WORKSITE LOCATION LOS ANGELES COUNTY,LOS ANGELES COUNTY WORKSITE LOCATION,California,state,0
CDCR CCHCS WORKSITE RIVERSIDE COUNTY,RIVERSIDE COUNTY WORKSITE LOCATION,California,state,0
CDCR CCHCS WORKSITE SACRAMENTO COUNTY,SACRAMENTO COUNTY WORKSITE LOCATION,California,state,0
CDCR CCHCS WORKSITE SAN BERNARDINO COUNTY,SAN BERNARDINO COUNTY WORKSITE LOCATION,California,state,0
WSP WASCO STATE PRISON,WASCO STATE PRISON,California,state,0
LIMON CORRECTIONAL CENTER,LIMON CORRECTIONAL FACILITY,Colorado,state,0
SKYLINE CORRECTIONAL FACILITY,SKYLINE CORRECTIONAL CENTER,Colorado,state,0
BRIDGEPORT CC,BRIDGEPORT CORRECTIONAL CENTER,Connecticut,state,0
BROOKLYN CI,BROOKLYN CORRECTIONAL INSTITUTION,Connecticut,state,0
CARL ROBINSON CI,CARL ROBINSON CORRECTIONAL INSTITUTION,Connecticut,state,0
CHESHIRE CI,CHESHIRE CORRECTIONAL INSTITUTION,Connecticut,state,0
CORRIGAN RADGOWSKI CC,CORRIGAN RADGOWSKI CORRECTIONAL CENTER,Connecticut,state,0
GARNER CI,GARNER CORRECTIONAL INSTITUTION,Connecticut,state,0
HARTFORD CC,HARTFORD CORRECTIONAL CENTER,Connecticut,state,0
ISOLATION UNIT AT NORTHERN CI,NORTHERN CORRECTIONAL INSTITUTION,Connecticut,state,0
MWCI,MACDOUGALL WALKER CORRECTIONAL INSTITUTION,Connecticut,state,0
NEW HAVEN CC,NEW HAVEN CORRECTIONAL CENTER,Connecticut,state,0
NORTHERN CI,NORTHERN CORRECTIONAL INSTITUTION,Connecticut,state,0
OSBORN CI,OSBORN CORRECTIONAL INSTITUTION,Connecticut,state,0
