"","facility_name_raw","facility_name_clean","State","jurisdiction"
"571","ORLEANS PARISH JAILS","ORLEANS PARISH JAILS","Louisiana","county"
"572","OAKDALE I FEDERAL CORRECTIONAL INSTITUTION","OAKDALE I FEDERAL CORRECTIONAL INSTITUTION","Louisiana","federal"
"573","OAKDALE II FEDERAL CORRECTIONAL INSTITUTION","OAKDALE II FEDERAL CORRECTIONAL INSTITUTION","Louisiana","federal"
"574","POLLOCK FEDERAL CORRECTIONAL INSTITUTION","POLLOCK FEDERAL CORRECTIONAL INSTITUTION","Louisiana","federal"
"575","POLLOCK UNITED STATES PENITENTIARY","POLLOCK UNITED STATES PENITENTIARY","Louisiana","federal"
"576","ALLEN CORRECTIONAL CENTER","ALLEN CORRECTIONAL CENTER","Louisiana","state"
"577","DAVID WADE CORRECTIONAL CENTER","DAVID WADE CORRECTIONAL CENTER","Louisiana","state"
"578","ELAYN HUNT CORRECTIONAL CENTER","ELAYN HUNT CORRECTIONAL CENTER","Louisiana","state"
"579","LOUISIANA CORRECTIONAL INSTITUTION FOR WOMEN HUNT","LOUISIANA CORRECTIONAL INSTITUTION FOR WOMEN HUNT","Louisiana","state"
"580","LOUISIANA CORRECTIONAL INSTITUTION FOR WOMEN JETSON","LOUISIANA CORRECTIONAL INSTITUTION FOR WOMEN JETSON","Louisiana","state"
"581","LOUISIANA STATE PENITENTIARY","LOUISIANA STATE PENITENTIARY","Louisiana","state"
"582","RAYBURN CORRECTIONAL CENTER","RAYBURN CORRECTIONAL CENTER","Louisiana","state"
"583","RAYMOND LABORDE CORRECTIONAL CENTER","RAYMOND LABORDE CORRECTIONAL CENTER","Louisiana","state"
"584","BCF","BOLDUC CORRECTIONAL FACILITY","Maine","state"
"585","MAINE CORRECTIONAL CENTER MCC","MAINE CORRECTIONAL CENTER MCC","Maine","state"
"586","MSP","MAINE STATE PRISON","Maine","state"
"587","MVCF","MOUNTAIN VIEW CORRECTIONAL FACILITY","Maine","state"
"588","STATEWIDE ADULT","STATEWIDE ADULT","Maine","state"
"589","STATEWIDE JUVENILE","STATEWIDE JUVENILE","Maine","state"
"590","WOMEN","MAINE CORRECTIONAL WOMENS CENTER","Maine","state"
"591","CUMBERLAND FEDERAL CORRECTIONAL INSTITUTION","CUMBERLAND FEDERAL CORRECTIONAL INSTITUTION","Maryland","federal"
"592","JESUP FEDERAL CORRECTIONAL INSTITUTION","JESUP FEDERAL CORRECTIONAL INSTITUTION","Maryland","federal"
"593","MID ATLANTIC RO","MID ATLANTIC REGIONAL OFFICE","Maryland","federal"
"594","VOLUNTEERS OF AMERICA INC BALTIMORE","VOLUNTEERS OF AMERICA INC BALTIMORE","Maryland","federal"
"595","BALTIMORE CENTRAL BOOKING INTAKE CENTER","BALTIMORE CENTRAL BOOKING INTAKE CENTER","Maryland","state"
"596","BCCC BALTIMORE CITY CORRECTIONAL CENTER","BALTIMORE CITY CORRECTIONAL CENTER","Maryland","state"
"597","CDF CHESAPEAKE DETENTION FACILITY","CHESAPEAKE DETENTION FACILITY","Maryland","state"
"598","CMCF CENTRAL MARYLAND CORRECTIONAL FACILITY","CENTRAL MARYLAND CORRECTIONAL FACILITY","Maryland","state"
"599","DRCF DORSEY RUN CORRECTIONAL FACILITY","DORSEY RUN CORRECTIONAL FACILITY","Maryland","state"
"600","ECI EASTERN CORRECTIONAL INSTITUTION","EASTERN CORRECTIONAL INSTITUTION","Maryland","state"
"601","ECI EASTERN CORRECTIONAL INSTITUTION","EASTERN CORRECTIONAL INSTITUTION","North Carolina","state"
"602","EPRU EASTERN PRE RELEASE UNIT","EASTERN PRERELEASE UNIT","Maryland","state"
"603","JESSUP CORRECTIONAL INSTITUTION","JESSUP CORRECTIONAL INSTITUTION","Maryland","state"
"604","MARYLAND CORRECTIONAL TRAINING CENTER HAGERSTOWN","MARYLAND CORRECTIONAL TRAINING CENTER HAGERSTOWN","Maryland","state"
"605","MCI H MARYLAND CORRECTIONAL INSTITUTION HAGERSTOWN","MARYLAND CORRECTIONAL INSTITUTION HAGERSTOWN","Maryland","state"
"606","MCI W MARYLAND CORRECTIONAL INSTITUTION FOR WOMEN","MARYLAND CORRECTIONAL INSTITUTION FOR WOMEN","Maryland","state"
"607","MRDCC MARYLAND RECEPTION DIAGNOSTICS AND CLASSICIATION CENTER","MARYLAND RECEPTION DIAGNOSTICS AND CLASSICIATION CENTER","Maryland","state"
"608","MTC METROPOLITAN TRANSITION CENTER BALTIMORE","METROPOLITAN TRANSITION CENTER BALTIMORE","Maryland","state"
"609","NBCI NORTH BRANCH CORRECTIONAL INSTITUTION","MARYLAND CORRECTIONAL INSTITUTION FOR WOMEN","Maryland","state"
"610","NON RESIDENTIAL LOCATION","NON RESIDENTIAL LOCATION","Maryland","state"
"611","PATX PATUXENT INSTITUTION","PATUXENT INSTITUTION","Maryland","state"
"612","RCI ROXBURY CORRECTIONAL INSTITUTION","ROXBURY CORRECTIONAL INSTITUTION","Maryland","state"
"613","SMPRU SOUTHERN MARYLAND PRE RELEASE UNIT","SOUTHERN MARYLAND PRERELEASE UNIT","Maryland","state"
"614","WCI WESTERN CORRECTIONAL INSTITUTION","WESTERN CORRECTIONAL INSTITUTION","Maryland","state"
"615","YDC YOUTH DETENTION CENTER","YOUTH DETENTION CENTER","Maryland","state"
"616","COOLIDGE HOUSE","COOLIDGE HOUSE","Massachusetts","federal"
"617","DEVENS FMC","DEVENS FEDERAL MEDICAL CENTER","Massachusetts","federal"
"618","BOSTON PRE","BOSTON PRERELEASE CENTER","Massachusetts","state"
"619","BSH","BRIDGEWATER STATE HOSPITAL","Massachusetts","state"
"620","LSH","LEMUEL SHATTUCK HOSPITAL","Massachusetts","state"
"621","MASAC","MASSACHUSETTS ALCOHOL AND SUBSTANCE ABUSE CENTER","Massachusetts","state"
"622","MCI C","MASSACHUSETTS CORRECTIONAL INSTITUTION CONCORD","Massachusetts","state"
"623","MCI CJ","MASSACHUSETTS CORRECTIONAL INSTIUTION CEDAR JUNCTION","Massachusetts","state"
"624","MCI F","MASSACHUSETTS CORRECTIONAL INSTITUTION FRAMINGHAM","Massachusetts","state"
"625","MCI NORFOLK","MASSACHUSETTS CORRECTIONAL INSTITUTION NORFOLK","Massachusetts","state"
"626","MCI SHIRLEY","MASSACHUSETTS CORRECTIONAL INSTITUTION SHIRLEY","Massachusetts","state"
"627","MTC","MASSACHUSETTS TREATMENT CENTER","Massachusetts","state"
"628","NCCI GARDN","NORTH CENTRAL CORRECTIONAL INSTITUTION","Massachusetts","state"
"629","NECC","NORTHEASTERN CORRECTIONAL CENTER","Massachusetts","state"
"630","NON FACILITY","NON FACILITY","Massachusetts","state"
"631","OCCC","OLD COLONY CORRECTIONAL CENTER","Massachusetts","state"
"632","PONDVILLE","PONDVILLE CORRECTIONAL CENTER","Massachusetts","state"
"633","SBCC","SOUZA BARANOWSKI CORRECTIONAL CENTER","Massachusetts","state"
"634","SMCC","SOUTH MIDDLESEX CORRECTIONAL CENTER","Massachusetts","state"
"635","CHERRY STREET SERVICES INC RESIDENTIAL REENTRY CENTER GRAND RAPIDS","CHERRY STREET SERVICES INC RESIDENTIAL REENTRY CENTER GRAND RAPIDS","Michigan","federal"
"636","MILAN FEDERAL CORRECTIONAL INSTITUTION","MILAN FEDERAL CORRECTIONAL INSTITUTION","Michigan","federal"
"637","NORTH LAKE CORRECTIONAL INSTITUTION","NORTH LAKE CORRECTIONAL INSTITUTION","Michigan","federal"
"638","ALGER CORRECTIONAL FACILITY","ALGER CORRECTIONAL FACILITY","Michigan","state"
"639","BARAGA CORRECTIONAL FACILITY","BARAGA CORRECTIONAL FACILITY","Michigan","state"
"640","BELLAMY CREEK CORRECTIONAL FACILITY","BELLAMY CREEK CORRECTIONAL FACILITY","Michigan","state"
"641","CARSON CITY CORRECTIONAL FACILITY","CARSON CITY CORRECTIONAL FACILITY","Michigan","state"
"642","CENTRAL MICHIGAN CORRECTIONAL FACILITY","CENTRAL MICHIGAN CORRECTIONAL FACILITY","Michigan","state"
"643","CHARLES E EGELER RECEPTION AND GUIDANCE CENTER","CHARLES E EGELER RECEPTION AND GUIDANCE CENTER","Michigan","state"
"644","CHIPPEWA CORRECTIONAL FACILITY","CHIPPEWA CORRECTIONAL FACILITY","Michigan","state"
"645","COOPER STREET CORRECTIONAL FACILITY","COOPER STREET CORRECTIONAL FACILITY","Michigan","state"
"646","DETROIT DETENTION CENTER","DETROIT DETENTION CENTER","Michigan","state"
"647","DETROIT REENTRY CENTER","DETROIT REENTRY CENTER","Michigan","state"
"648","DUANE WATERS HEALTH CENTER","DUANE WATERS HEALTH CENTER","Michigan","state"
"649","EARNEST C BROOKS CORRECTIONAL FACILITY","EARNEST C BROOKS CORRECTIONAL FACILITY","Michigan","state"
"650","ELECTRONIC MONITORING CENTER","ELECTRONIC MONITORING CENTER","Michigan","state"
"651","FIELD OPERATIONS ADMINISTRATION METRO","FIELD OPERATIONS ADMINISTRATION METRO","Michigan","state"
"652","FIELD OPERATIONS ADMINISTRATION OUTSTATE","FIELD OPERATIONS ADMINISTRATION OUTSTATE","Michigan","state"
"653","G ROBERT COTTON CORRECTIONAL FACILITY","G ROBERT COTTON CORRECTIONAL FACILITY","Michigan","state"
"654","GUS HARRISON CORRECTIONAL FACILITY","GUS HARRISON CORRECTIONAL FACILITY","Michigan","state"
"655","IONIA CORRECTIONAL FACILTY","IONIA CORRECTIONAL FACILTY","Michigan","state"
"656","IONIA REGIONAL WAREHOUSE","IONIA REGIONAL WAREHOUSE","Michigan","state"
"657","JACKSON REGIONAL WAREHOUSE","JACKSON REGIONAL WAREHOUSE","Michigan","state"
"658","JACKSON TRAINING CENTER","JACKSON TRAINING CENTER","Michigan","state"
"659","KINROSS CORRECTIONAL FACILITY","KINROSS CORRECTIONAL FACILITY","Michigan","state"
"660","KINROSS REGIONAL OFFICE","KINROSS REGIONAL OFFICE","Michigan","state"
"661","LAKELAND CORRECTIONAL FACILITY","LAKELAND CORRECTIONAL FACILITY","Michigan","state"
"662","MACOMB CORRECTIONAL FACILITY","MACOMB CORRECTIONAL FACILITY","Michigan","state"
"663","MARQUETTE BRANCH PRISON","MARQUETTE BRANCH PRISON","Michigan","state"
"664","MICHIGAN REFORMATORY","MICHIGAN REFORMATORY","Michigan","state"
"665","MUSKEGON CORRECTIONAL FACILITY","MUSKEGON CORRECTIONAL FACILITY","Michigan","state"
"666","NEWBERRY CORRECTIONAL FACILITY","NEWBERRY CORRECTIONAL FACILITY","Michigan","state"
"667","OAKS CORRECTIONAL FACILITY","OAKS CORRECTIONAL FACILITY","Michigan","state"
"668","PARNALL CORRECTIONAL FACILITY","PARNALL CORRECTIONAL FACILITY","Michigan","state"
"669","RICHARD A HANDLON CORRECTIONAL FACILITY","RICHARD A HANDLON CORRECTIONAL FACILITY","Michigan","state"
"670","SAGINAW CORRECTIONAL FACILITY","SAGINAW CORRECTIONAL FACILITY","Michigan","state"
"671","SOUTHERN REGION ACADEMY","SOUTHERN REGION ACADEMY","Michigan","state"
"672","ST LOUIS CORRECTIONAL FACILITY","ST LOUIS CORRECTIONAL FACILITY","Michigan","state"
"673","THUMB CORRECTIONAL FACILITY","THUMB CORRECTIONAL FACILITY","Michigan","state"
"674","WOMENS HURON VALLEY CORRECTIONAL FACILITY","WOMENS HURON VALLEY CORRECTIONAL FACILITY","Michigan","state"
"675","WOODLAND CENTER CORRECTIONAL FACILITY","WOODLAND CENTER CORRECTIONAL FACILITY","Michigan","state"
"676","HENNEPIN COUNTY JAIL","HENNEPIN COUNTY JAIL","Minnesota","county"
"677","DULUTH FEDERAL PRISON CAMP","DULUTH FEDERAL PRISON CAMP","Minnesota","federal"
"678","ROCHESTER FMC","ROCHESTER FEDERAL MEDICAL FACILITY","Minnesota","federal"
"679","SANDSTONE FEDERAL CORRECTIONAL INSTITUTION","SANDSTONE FEDERAL CORRECTIONAL INSTITUTION","Minnesota","federal"
"680","WASECA FEDERAL CORRECTIONAL INSTITUTION","WASECA FEDERAL CORRECTIONAL INSTITUTION","Minnesota","federal"
"681","FIELD SERVICES","FIELD SERVICES","Minnesota","state"
"682","FIELD SERVICES","FIELD SERVICES","New Hampshire","state"
"683","MCF-FARIBAULT","FARIBAULT CORRECTIONAL FACILITY","Minnesota","state"
"684","MCF-LINO LAKES","LINO LAKES CORRECTIONAL FACILITY","Minnesota","state"
"685","MCF-MOOSE LAKE","MOOSE LAKE CORRECTIONAL FACILITY","Minnesota","state"
"686","MCF-OAK PARK HEIGHTS","OAK PARK HEIGHTS CORRECTIONAL FACILITY","Minnesota","state"
"687","MCF-RED WING","RED WING CORRECTIONAL FACILITY","Minnesota","state"
"688","MCF-RUSH CITY","RUSH CORRECTIONAL FACILITY","Minnesota","state"
"689","MCF-SAINT CLOUD","SAINT CLOUD CORRECTIONAL FACILITY","Minnesota","state"
"690","MCF-SHAKOPEE","SHAKOPEE CORRECTIONAL FACILITY","Minnesota","state"
"691","MCF-STILLWATER","STILLWATER CORRECTIONAL FACILITY","Minnesota","state"
"692","MCF-TOGO","TOGO CORRECTIONAL FACILITY","Minnesota","state"
"693","MCF-WILLOW RIVER","WILLOW RIVER CORRECTIONAL FACILITY","Minnesota","state"
"694","MINNCOR-RSVL","ROSEVILLE MINNCOR","Minnesota","state"
"695","YAZOO CITY LOW FEDERAL CORRECTIONAL INSTITUTION","YAZOO CITY LOW FEDERAL CORRECTIONAL INSTITUTION","Mississippi","federal"
"696","YAZOO CITY MEDIUM FEDERAL CORRECTIONAL INSTITUTION","YAZOO CITY MEDIUM FEDERAL CORRECTIONAL INSTITUTION","Mississippi","federal"
"697","YAZOO CITY UNITED STATES PENITENTIARY","YAZOO CITY UNITED STATES PENITENTIARY","Mississippi","federal"
"698","ALCORN COUNTY CORRECTIONAL FACILITY","ALCORN COUNTY CORRECTIONAL FACILITY","Mississippi","state"
"699","BOLIVAR COUNTY CORRECTIONAL FACILITY","BOLIVAR COUNTY CORRECTIONAL FACILITY","Mississippi","state"
"700","CARROLL MONTGOMERY COUNTY CORRECTIONAL FACILITY","CARROLL MONTGOMERY COUNTY CORRECTIONAL FACILITY","Mississippi","state"
"701","CENTRAL MISSISSIPPI CORRECTIONAL INSTITUTION PEARL","CENTRAL MISSISSIPPI CORRECTIONAL INSTITUTION","Mississippi","state"
"702","CHICKASAW COUNTY CORRECTIONAL FACILITY","CHICKASAW COUNTY CORRECTIONAL FACILITY","Mississippi","state"
"703","EAST MISSISSIPPI CORRECTIONAL FACILITY MERIDIAN","EAST MISSISSIPPI CORRECTIONAL FACILITY MERIDIAN","Mississippi","state"
"704","GEORGE COUNTY CORRECTIONAL FACILITY","GEORGE COUNTY CORRECTIONAL FACILITY","Mississippi","state"
"705","HOLMES HUMPHREYS COUNTY CORRECTIONAL FACILITY","HOLMES HUMPHREYS COUNTY CORRECTIONAL FACILITY","Mississippi","state"
"706","ISSAQUENA COUNTY CORRECTIONAL FACILITY","ISSAQUENA COUNTY CORRECTIONAL FACILITY","Mississippi","state"
"707","JEFFERSON FRANKLIN COUNTY CORRECTIONAL FACILITY","JEFFERSON FRANKLIN COUNTY CORRECTIONAL FACILITY","Mississippi","state"
"708","KEMPER NESHOBA COUNTY CORRECTIONAL FACILITY","KEMPER NESHOBA COUNTY CORRECTIONAL FACILITY","Mississippi","state"
"709","LEAKE COUNTY CORRECTIONAL FACILITY","LEAKE COUNTY CORRECTIONAL FACILITY","Mississippi","state"
"710","MARION WALTHALL COUNTY CORRECTIONAL FACILITY","MARION WALTHALL COUNTY CORRECTIONAL FACILITY","Mississippi","state"
"711","MARSHALL COUNTY CORRECTIONAL FACILITY HOLLY SPRINGS","MARSHALL COUNTY CORRECTIONAL FACILITY HOLLY SPRINGS","Mississippi","state"
"712","MISSISSIPPI STATE PENITENTIARY PARCHMAN","MISSISSIPPI STATE PENITENTIARY","Mississippi","state"
"713","SOUTH MISSISSIPPI CORRECTIONAL INSTITUTION LEAKESVILLE","SOUTH MISSISSIPPI CORRECTIONAL INSTITUTION LEAKESVILLE","Mississippi","state"
"714","STONE COUNTY CORRECTIONAL FACILITY","STONE COUNTY CORRECTIONAL FACILITY","Mississippi","state"
"715","TALLAHATCHIE COUNTY CORRECTIONAL FACILITY","TALLAHATCHIE COUNTY CORRECTIONAL FACILITY","Mississippi","state"
"716","WASHINGTON COUNTY CORRECTIONAL FACILITY","WASHINGTON COUNTY CORRECTIONAL FACILITY","Mississippi","state"
"717","WILKINSON COUNTY CORRECTIONAL FACILITY WOODVILLE","WILKINSON COUNTY CORRECTIONAL FACILITY","Mississippi","state"
"718","WINSTON CHOCTAW COUNTY CORRECTIONAL FACILITY","WINSTON CHOCTAW COUNTY CORRECTIONAL FACILITY","Mississippi","state"
"719","YAZOO COUNTY CORRECTIONAL FACILITY","YAZOO COUNTY CORRECTIONAL FACILITY","Mississippi","state"
"720","DISMAS HOUSE OF ST LOUIS RESIDENTIAL REENTRY CENTER","DISMAS HOUSE OF ST LOUIS RESIDENTIAL REENTRY CENTER","Missouri","federal"
"721","SOUTHEAST MO BEHAVIORAL HEALTH INC RESIDENTIAL REENTRY CENTER","SOUTHEAST MO BEHAVIORAL HEALTH INC RESIDENTIAL REENTRY CENTER","Missouri","federal"
"722","SPRINGFIELD MCFP","SPRINGFIELD MEDICAL CENTER FOR FEDERAL PRISONERS","Missouri","federal"
"723","ACC","ALGOA CORRECTIONAL CENTER","Missouri","state"
"724","BCC","BOONVILLE CORRECTIONAL CENTER","Missouri","state"
"725","CCC","CHILLICOTHE CORRECTIONAL CENTER","Missouri","state"
"726","CO","CENTRAL OFFICE","Florida","state"
"727","CO","CENTRAL OFFICE","Idaho","state"
"728","CO","CENTRAL OFFICE","Indiana","state"
"729","CO","CENTRAL OFFICE","Michigan","state"
"730","CO","CENTRAL OFFICE","Minnesota","state"
"731","CO","CENTRAL OFFICE","Missouri","state"
"732","CO","CENTRAL OFFICE","North Dakota","state"
"733","CO","CENTRAL OFFICE","Pennsylvania","state"
"734","CO","CENTRAL OFFICE","Vermont","state"
"735","CO","CENTRAL OFFICE","Wisconsin","state"
"736","CRCC","CROSSROADS CORRECTIONAL CENTER","Missouri","state"
"737","CRCC","CROSSROADS CORRECTIONAL CENTER","Montana","state"
"738","CTCC","CREMER RHERAPEUTIC COMMUNITY CENTER","Missouri","state"
"739","ERDCC","EASTERN RECEPTION DIAGNOSTIC AND CORRECTIONAL CENTER","Missouri","state"
"740","FCC","FARMINGTON CORRECTIONAL CENTER","Missouri","state"
"741","FRDC","FULTON RECEPTION AND DIAGNOSTIC CENTER","Missouri","state"
"742","FTC","FARMINGTON TREATMENT CENTER","Missouri","state"
"743","JCCC","JEFFERSON CITY CORRECTIONAL CENTER","Missouri","state"
"744","KCRC","KANSAS CITY REENTRY CENTER","Missouri","state"
"745","MCC","MOBERLY CORRECTIONAL CENTER","Missouri","state"
"746","MECC","MISSOURI EASTERN CORRECTIONAL CENTER","Missouri","state"
"747","MTC","MARYVILLE TREATMENT CENTER","Missouri","state"
"748","NECC","NORTHEAST CORRECTIONAL CENTER","Missouri","state"
"749","P&P OFFICES","PROBATION AND PAROLE OFFICES","Missouri","state"
"750","PCC","POTOSI CORRECTIONAL CENTER","Missouri","state"
"751","SCCC","SOUTH CENTRAL CORRECTIONAL CENTER","Missouri","state"
"752","SECC","SOUTHEAST CORRECTIONAL CENTER","Missouri","state"
"753","TCC","TIPTON CORRECTIONAL CENTER","Missouri","state"
"754","TCSTL","TRANSITIONAL CENTER OF ST LOUIS","Missouri","state"
"755","TTC","TTC","Missouri","state"
"756","UNSPECIFIED FACILITIES","UNSPECIFIED FACILITIES","Missouri","state"
"757","WERDCC","WOMENS EASTERN RECEPTION DIAGNOSTIC AND CORRECTIONAL CENTER","Missouri","state"
"758","WMCC","WESTERN MISSOURI CORRECTIONAL CENTER","Missouri","state"
"759","WRDCC","WESTERN RECEPTION DIAGNOSTIC AND CORRECTIONAL CENTER","Missouri","state"
"760","ALPHA HOUSE","ALPHA HOUSE","Montana","federal"
"761","ALPHA HOUSE BILLINGS","ALPHA HOUSE BILLINGS","Montana","state"
"762","CCP EAST BUTTE","EAST BUTTE CONNECTIONS CORRECTIONS PROGRAM","Montana","state"
"763","CCP WEST AND WATCH WEST WARM SPRINGS","WEST AND WATCH WEST WARM SPRINGS CONNECTIONS CORRECTIONS PROGRAM","Montana","state"
"764","CROSSROADS CORRECTIONAL CENTER","CROSSROADS CORRECTIONAL CENTER","Missouri","state"
"765","CROSSROADS CORRECTIONAL CENTER","CROSSROADS CORRECTIONAL CENTER","Montana","state"
"766","GALLATIN REENTRY PROGRAM BOZEMAN","GALLATIN REENTRY PROGRAM BOZEMAN","Montana","state"
"767","GREAT FALLS REGIONAL PRISON","GREAT FALLS REGIONAL PRISON","Montana","state"
"768","GREAT FALLS TRANSITION CENTER","GREAT FALLS TRANSITION CENTER","Montana","state"
"769","MONTANA STATE PRISON","MONTANA STATE PRISON","Montana","state"
"770","MONTANA WOMENS PRISON","MONTANA WOMENS PRISON","Montana","state"
"771","NEXUS TREATMENT PROGRAM LEWISTOWN","NEXUS TREATMENT PROGRAM LEWISTOWN","Montana","state"
"772","PASSAGES BILLINGS","PASSAGES BILLINGS","Montana","state"
"773","PINE HILLS CORRECTIONAL FACILITY","PINE HILLS CORRECTIONAL FACILITY","Montana","state"
"774","RIVERSIDE SPECIAL NEEDS UNIT","RIVERSIDE SPECIAL NEEDS UNIT","Montana","state"
"775","START ASSESSMENT CENTER ANACONDA","START ASSESSMENT CENTER ANACONDA","Montana","state"
"776","GEO CARE RESIDENTIAL REENTRY CENTER LAS VEGAS","GEO CARE RESIDENTIAL REENTRY CENTER LAS VEGAS","Nevada","federal"
"777","CASA GRANDE PRISON","CASA GRANDE PRISON","Nevada","state"
"778","ELY STATE PRISON","ELY STATE PRISON","Nevada","state"
"779","FLORENCE MCCLURE WOMENS CORRECTIONAL CENTER","FLORENCE MCCLURE WOMENS CORRECTIONAL CENTER","Nevada","state"
"780","HIGH DESERT STATE PRISON INDIAN VALLEY","HIGH DESERT STATE PRISON INDIAN VALLEY","Nevada","state"
"781","INDIAN SPRINGS SOUTHERN TRAINING CENTER","INDIAN SPRINGS SOUTHERN TRAINING CENTER","Nevada","state"
"782","LOVELOCK CORRECTIONAL CENTER","LOVELOCK CORRECTIONAL CENTER","Nevada","state"
"783","NORTHERN NEVADA CORRECTIONAL CENTER","NORTHERN NEVADA CORRECTIONAL CENTER","Nevada","state"
"784","PIOCHE CONSERVATION CAMP","PIOCHE CONSERVATION CAMP","Nevada","state"
"785","SOUTHERN DESERT CORRECTIONAL CENTER","SOUTHERN DESERT CORRECTIONAL CENTER","Nevada","state"
"786","STEWART TRAINING FACILITY NDOC","STEWART TRAINING FACILITY NDOC","Nevada","state"
"787","TONOPAH CONSERVATION CAMP","TONOPAH CONSERVATION CAMP","Nevada","state"
"788","WARM SPRINGS CORRECTIONAL CENTER","WARM SPRINGS CORRECTIONAL CENTER","Nevada","state"
"789","BERLIN FEDERAL CORRECTIONAL INSTITUTION","BERLIN FEDERAL CORRECTIONAL INSTITUTION","New Hampshire","federal"
"790","HAMPSHIRE HOUSE RESIDENTIAL REENTRY CENTER","HAMPSHIRE HOUSE RESIDENTIAL REENTRY CENTER","New Hampshire","federal"
"791","NHCF W","CORRECTIONAL FACILITY FOR WOMEN","New Hampshire","state"
"792","NHSP M","STATE PRISON FOR MEN","New Hampshire","state"
"793","NNHCF","NORTHERN NEW HAMPSHIRE CORRECTIONAL FACILITY","New Hampshire","state"
"794","SPU AND RTU","SECURE PSYCHIATRIC UNIT AND RESIDENTIAL TREATMENT UNIT","New Hampshire","state"
"795","TWC & THUS","TRANSITIONAL WORK CENTERS AND TRANSITIONAL HOUSING UNITS","New Hampshire","state"
"796","FAIRTON FEDERAL CORRECTIONAL INSTITUTION","FAIRTON FEDERAL CORRECTIONAL INSTITUTION","New Jersey","federal"
"797","FORT DIX FEDERAL CORRECTIONAL INSTITUTION","FORT DIX FEDERAL CORRECTIONAL INSTITUTION","New Jersey","federal"
"798","ADULT DIAGNOSTIC AND TREATMENT CENTER","ADULT DIAGNOSTIC AND TREATMENT CENTER","New Jersey","state"
"799","BAYSIDE STATE PRISON","BAYSIDE STATE PRISON","New Jersey","state"
"800","BO ROBINSON ASSESSMENT AND TREATMENT","BO ROBINSON ASSESSMENT AND TREATMENT","New Jersey","state"
"801","CENTRAL OFFICE HEADQUARTERS","CENTRAL OFFICE HEADQUARTERS","DC","federal"
"802","CENTRAL OFFICE HEADQUARTERS","CENTRAL OFFICE HEADQUARTERS","New Jersey","state"
"803","CENTRAL RECEPTION AND ASSIGNMENT FACILITY","CENTRAL RECEPTION AND ASSIGNMENT FACILITY","New Jersey","state"
"804","CLINTON HOUSE","CLINTON HOUSE","New Jersey","state"
"805","COLUMBUS HOUSE","COLUMBUS HOUSE","New Jersey","state"
"806","CORRECTIONAL STAFF TRAINING ACADEMY","CORRECTIONAL STAFF TRAINING ACADEMY","New Jersey","state"
"807","CURA INC","CURA INC","New Jersey","state"
"808","CUSTODY RECRUITMENT UNIT","CUSTODY RECRUITMENT UNIT","New Jersey","state"
"809","EAST JERSEY STATE PRISON","EAST JERSEY STATE PRISON","New Jersey","state"
"810","EDNA MAHAN CORRECTIONAL FACILITY FOR WOMEN","EDNA MAHAN CORRECTIONAL FACILITY FOR WOMEN","New Jersey","state"
"811","FENWICK HOUSE","FENWICK HOUSE","New Jersey","state"
"812","FLETCHER HOUSE","FLETCHER HOUSE","New Jersey","state"
"813","GARDEN STATE YOUTH CORRECTIONAL FACILITY","GARDEN STATE YOUTH CORRECTIONAL FACILITY","New Jersey","state"
"814","GARRETT HOUSE","GARRETT HOUSE","New Jersey","state"
"815","HOPE HALL","HOPE HALL","New Jersey","state"
"816","JAMES A HEMM HOUSE","JAMES A HEMM HOUSE","New Jersey","state"
"817","KINTOCK BRIDGETON 1","KINTOCK BRIDGETON 1","New Jersey","state"
"818","KINTOCK BRIDGETON 2","KINTOCK BRIDGETON 2","New Jersey","state"
"819","KINTOCK NEWARK","KINTOCK NEWARK","New Jersey","state"
"820","MID STATE CORRECTIONAL FACILITY","MID STATE CORRECTIONAL FACILITY","New Jersey","state"
"821","NEW JERSEY STATE PRISON","NEW JERSEY STATE PRISON","New Jersey","state"
"822","NORTHERN STATE PRISON","NORTHERN STATE PRISON","New Jersey","state"
"823","SOUTH WOODS STATE PRISON","SOUTH WOODS STATE PRISON","New Jersey","state"
"824","SOUTHERN STATE CORRECTIONAL FACILITY","SOUTHERN STATE CORRECTIONAL FACILITY","New Jersey","state"
"825","SOUTHERN STATE CORRECTIONAL FACILITY","SOUTHERN STATE CORRECTIONAL FACILITY","Vermont","state"
"826","THE HARBOR HOUSE","THE HARBOR HOUSE","New Jersey","state"
"827","TULLY HOUSE","TULLY HOUSE","New Jersey","state"
"828","WILLIAM H FAUVER YOUTH CORRECTIONAL FACILITY","WILLIAM H FAUVER YOUTH CORRECTIONAL FACILITY","New Jersey","state"
"829","OTERO COUNTY PRISON FACILITY RESIDENTIAL REENTRY CENTER CHARPARRAL","OTERO COUNTY PRISON FACILITY RESIDENTIAL REENTRY CENTER CHARPARRAL","New Mexico","federal"
"830","CENTRAL NEW MEXICO CORRECTIONAL FACILITY CNMCF","CENTRAL NEW MEXICO CORRECTIONAL FACILITY","New Mexico","state"
"831","GUADALUPE COUNTY CORRECTIONAL FACILITY GCCF","GUADALUPE COUNTY CORRECTIONAL FACILITY","New Mexico","state"
"832","LEA COUNTY CORRECTIONAL FACILITY LCCF","LEA COUNTY CORRECTIONAL FACILITY","New Mexico","state"
