"Facility.ID","PREA.Audit.Date","PREA.Report.Date","PREA.Staff.Population","PREA.Residents.Population","PREA.Capacity","PREA.Staff.Population.Type","PREA.Residents.Population.Type","PREA.Source"
277,2018-11-16,2019-01-17,291,1539,1456,"Contact","Current","http://www.dc.state.fl.us/PREA/Holmes%20Correctional%20Institution%20PREA%20Report%20(second%20copy).pdf"
278,2021-01-15,2021-06-16,188,553,768,"Contact","Current","http://www.dc.state.fl.us/PREA/Homestead%20CI%20Final%20Audit%20Report.pdf"
279,2021-02-11,2021-03-25,387,1349,1758,"Contact","Current","http://www.dc.state.fl.us/PREA/Jackson%20CI%20%20PREA%20Audit%20Report%20Feb%202021%20FINAL.pdf"
281,2018-11-07,2018-12-21,236,1106,1185,"Contact","Current","http://www.dc.state.fl.us/PREA/2018%20Jefferson%20CI%20Final%20PREA%20Audit%20Report.pdf"
284,2019-06-27,2019-08-08,373,1069,1093,"Contact","Current","http://www.dc.state.fl.us/PREA/2019%20Lake%20C%20I%20Final%20Report.pdf"
285,2019-10-20,2019-10-07,377,1018,1075,"Contact","Current","http://www.dc.state.fl.us/PREA/Lancaster%20Final%20Report%20.pdf"
286,2020-02-27,2020-03-19,192,808,552,"Contact","Current","http://www.dc.state.fl.us/PREA/Lawtey%20Final%20Report.pdf"
287,2020-12-10,2021-01-21,352,1274,2113,"Contact","Current","http://www.dc.state.fl.us/PREA/Liberty%20PREA%20Audit%20Report%20Dec%202020%20%20FINAL.pdf"
288,2019-05-24,2019-07-08,595,2692,3194,"Contact","Current","http://www.dc.state.fl.us/PREA/Final%20LCI%20PREA%20Report%20OAS.PDF"
289,2018-11-09,2018-12-26,292,1567,1484,"Contact","Current","http://www.dc.state.fl.us/PREA/2018%20Madison%20PREA%20Final%20report.pdf"
291,2019-12-13,2019-12-30,320,1124,1324,"Contact","Current","http://www.dc.state.fl.us/PREA/Marion%20C.I.%20Final%20Report%2012-30-19.pdf"
292,2021-04-09,2021-05-10,379,1674,1176,"Contact","Current","http://www.dc.state.fl.us/PREA/2021%20Martin%20CI%20%20PREA%20Report%20%20FINAL.pdf"
293,2019-10-11,2019-11-26,246,1200,1345,"Contact","Current","http://www.dc.state.fl.us/PREA/Mayo%20Correctional%20Institution%20Final%20PREA%20report.pdf"
296,2020-06-03,2020-07-29,176,947,985,"Contact","Current","http://www.dc.state.fl.us/PREA/Prisons%20and%20Jails_Audit%20Report_Version6_2020%20-%20Moore%20Haven%20-Final.pdf"
297,2019-05-03,2019-09-03,278,1323,1340,"Contact","Current","http://www.dc.state.fl.us/PREA/PREA_Report_final_version_New%20River.pdf"
298,2018-11-29,2019-01-21,478,2261,2713,"Contact","Current","http://www.dc.state.fl.us/PREA/Final%20(2)%20Florida%20NWRC%20PREA.PDF"
299,2020-06-09,2020-07-08,282,1150,1174,"Contact","Current","http://www.dc.state.fl.us/PREA/Okaloosa%20CI%20PREA%20Audit%20Report%20June%202020%20-%20Final.pdf"
300,2020-11-06,2021-05-04,378,2456,2681,"Contact","Current","http://www.dc.state.fl.us/PREA/Okeechobee%20Nov%202020%20PREA%20Audit%20FINAL.pdf"
302,2020-07-03,2020-08-10,358,1583,1805,"Contact","Current","http://www.dc.state.fl.us/PREA/Polk%20C.%20I.%20%20PREA%20Audit%20June%202020%20Final.pdf"
303,2019-12-10,2019-12-30,142,481,300,"Contact","Current","http://www.dc.state.fl.us/PREA/Putnam%20CI%20Final%20Report%2012-30-19.pdf"
304,2020-09-16,2020-11-02,697,2436,3050,"Contact","Current","http://www.dc.state.fl.us/PREA/RMC%20FInal%20Report.pdf"
308,2019-06-14,2019-07-28,732,2943,3046,"Contact","Current","http://www.dc.state.fl.us/PREA/Santa%20Rosa%20Final%20Report.pdf"
309,2018-10-25,2018-12-04,350,2068,1948,"Contact","Current","http://www.dc.state.fl.us/PREA/2018%20South%20Bay%20CF%20PREA%20Final%20RPT%20RV1.pdf"
311,2019-06-06,2019-07-18,601,0,1100,"Contact","Current","http://www.dc.state.fl.us/PREA/South%20Florida%20RC%20Final%20Report%20June%2018,%202019.pdf"
314,2019-06-25,2019-07-30,403,1492,1639,"Contact","Current","http://www.dc.state.fl.us/PREA/Sumter_PREA_Report_2019.pdf"
315,2021-01-08,2021-02-10,532,1661,3567,"Contact","Current","http://www.dc.state.fl.us/PREA/2021%20Suwannee%20CI%20Final%20PREA%20Audit%20Report.pdf"
317,2019-11-22,2019-12-02,308,2275,2502,"Contact","Current","http://www.dc.state.fl.us/PREA/Taylor%20Final%20Report%20-%20%2012-2-19.pdf"
318,2019-06-27,2019-07-31,291,1228,1158,"Contact","Current","http://www.dc.state.fl.us/PREA/Tomoka_Final%20Report.pdf"
319,2020-02-21,2020-03-09,518,1747,1214,"Contact","Current","http://www.dc.state.fl.us/PREA/2020%20Union%20CI%20final%20report.pdf"
320,2020-09-03,2020-10-15,926,2976,3037,"Contact","Current","http://www.dc.state.fl.us/PREA/Final%20PREA%20Report.pdf"
321,2020-06-12,2020-07-21,269,1476,1492,"Contact","Current","http://www.dc.state.fl.us/PREA/Walton%20C.I.%20PREA%20Audit%20June%202020%20Final%20Report.pdf"
322,2019-10-18,2019-12-03,279,587,758,"Contact","Current","http://www.dc.state.fl.us/PREA/Zephyrhills%20Final%20Report.pdf"
323,2018-04-15,2018-05-22,68,194,200,"Contact","Current","http://www.dcor.state.ga.us/sites/default/files/Appling%20ITF%20.pdf"
324,2018-09-28,2018-11-04,52,275,275,"Contact","Current","http://gdc.ga.gov/sites/default/files/Atlanta%20TC%20Final%20Report%20.pdf"
326,2020-03-05,2020-04-20,424,1148,1326,"Contact","Current","http://www.dcor.state.ga.us/sites/default/files/Augusta_State_Medical_Prison.pdf"
327,2018-01-29,2018-03-07,51,228,230,"Contact","Current","http://gdc.ga.gov/sites/default/files/Augusta%20TC%20-%20Final%20Report.pdf"
328,2018-02-12,2018-04-19,317,1691,1721,"Contact","Current","http://www.dcor.state.ga.us/sites/default/files/Autry%20SP.pdf"
329,2018-10-19,2018-11-12,73,218,221,"Contact","Current","http://gdc.ga.gov/sites/default/files/Bacon%20PDC.pdf"
330,2019-03-19,2019-04-30,114,375,384,"Contact","Current","http://www.dcor.state.ga.us/sites/default/files/Bainbridge%20RSAT.pdf"
332,2018-02-19,2018-02-23,335,963,981,"Contact","Current","http://www.dcor.state.ga.us/sites/default/files/Baldwin%20SP%20-%20Final%20Report.pdf"
334,2019-07-30,2019-09-04,23,123,179,"Contact","Current","http://www.dcor.state.ga.us/sites/default/files/Bulloch%20County%20CI.pdf"
335,2019-04-30,2019-05-22,96,729,808,"Contact","Current","http://www.gdc.ga.gov/sites/default/files/Burruss%20Correctional%20Training%20Center.pdf"
336,2019-03-21,2019-04-30,246,1582,1639,"Contact","Current","http://www.dcor.state.ga.us/sites/default/files/Calhoun%20State%20Prison_0.pdf"
337,2019-02-20,2019-03-10,60,238,246,"Contact","Current","http://gdc.ga.gov/sites/default/files/Carroll%20County%20Prison%20%20.pdf"
339,2019-08-16,2019-11-05,42,183,200,"Contact","Current","http://www.dcor.state.ga.us/sites/default/files/Athens%20County%20CI.pdf"
340,2019-08-14,2019-10-31,59,253,256,"Contact","Current","http://gdc.ga.gov/sites/default/files/Clayton%20County%20Prison.pdf"
341,2020-02-07,2020-03-23,49,376,376,"Contact","Current","http://www.dcor.state.ga.us/sites/default/files/Clayton%20TC.pdf"
343,2018-04-19,2018-11-06,386,2597,2992,"Contact","Current","https://www.corecivic.com/hubfs/_files/PREA/2018-CoffeeCF-PREA-Report.pdf"
344,2019-02-20,2019-05-19,25,186,190,"Contact","Current","http://gdc.ga.gov/sites/default/files/Colquitt%20County%20CI.pdf"
345,2017-09-12,2017-11-24,39,140,140,"Contact","Current","http://www.dcor.state.ga.us/sites/default/files/Columbus%20Transitional%20.pdf"
346,2018-03-14,2018-04-20,67,254,265,"Contact","Current","http://www.dcor.state.ga.us/sites/default/files/Colwell%20PDC%20.pdf"
347,2018-12-04,2018-12-23,61,229,280,"Contact","Current","https://www.coweta.ga.us/home/showpublisheddocument/22144/637467323368930000"
350,2018-07-18,2018-06-28,43,211,382,"Contact","Current","http://www.decaturcountyga.gov/wp-content/uploads/2018/08/DECATUR-COUNTY-PRISON-PREA-REPORT-JULY-28-2018.pdf"
351,2018-01-02,2018-02-06,221,1208,1236,"Contact","Current","http://www.dcor.state.ga.us/sites/default/files/Dodge%20State%20Prison.PDF"
352,2021-01-22,2021-02-15,154,1458,1706,"Contact","Current","http://www.gdc.ga.gov/sites/default/files/Dooly%20State%20Prison%20.pdf"
353,2018-07-30,2018-09-05,35,187,192,"Contact","Current","http://gdc.ga.gov/sites/default/files/Effingham%20County%20CI%20.pdf"
354,2020-10-30,2020-12-20,53,318,369,"Contact","Current","http://www.gdc.ga.gov/sites/default/files/Emanuel%20PDC%20-%20Final%20PREA%20Audit%20Report.pdf"
355,2020-10-28,2020-12-20,81,406,415,"Contact","Current","http://www.gdc.ga.gov/sites/default/files/Emanuel%20Women%27s%20Facility_0.pdf"
356,2019-03-03,2019-05-23,82,420,498,"Contact","Current","http://gdc.ga.gov/sites/default/files/Floyd%20County%20CI.pdf"
357,2019-05-30,2019-06-12,431,2359,2708,"Contact","Current","http://www.dcor.state.ga.us/sites/default/files/Georgia%20Diagnostics%20and%20Classification%20SP.pdf"
359,2019-02-06,2019-03-22,549,1341,1537,"Contact","Current","http://www.dcor.state.ga.us/sites/default/files/Georgia%20State%20Prison_0.pdf"
360,2019-05-17,2019-06-26,130,247,512,"Contact","Current","https://www.gwinnettcounty.com/static/departments/corrections/pdf/2019_PREA_Audit_Report.pdf"
361,2019-07-16,2019-08-08,35,203,200,"Contact","Current","https://www.hallcounty.org/DocumentCenter/View/6062/PREA-Audit-Report-2019-PDF"
362,2018-02-15,2018-03-15,316,1042,1201,"Contact","Current","http://www.dcor.state.ga.us/sites/default/files/Hancock%20SP%20-%20Final%20Report.pdf"
363,2018-12-06,2018-12-17,30,148,150,"Contact","Current","https://harriscountyga.gov/wp-content/uploads/2018/12/PREA-FINAL-REPORT-12-23-2018.pdf"
364,2019-05-07,2019-06-15,342,1029,1101,"Contact","Current","http://www.dcor.state.ga.us/sites/default/files/Hays%20State%20Prison.pdf"
365,2020-02-04,2020-03-19,37,37,56,"Contact","Current","http://www.dcor.state.ga.us/sites/default/files/Helms.pdf"
366,2021-02-26,2021-03-19,30,132,155,"Contact","Current","http://www.gdc.ga.gov/sites/default/files/Hudson%20Transitional%20Center%20.pdf"
367,2019-03-06,2019-09-04,34,149,170,"Contact","Current","http://www.dcor.state.ga.us/sites/default/files/Jackson%20County%20CI.pdf"
368,2019-03-29,2019-04-07,71,316,501,"Contact","Current","https://lasallecorrections.com/wp-content/uploads/2020/11/2019-Jefferson-County-Jail-Final-PREA-Report.pdf"
369,2019-11-14,2020-05-03,182,1147,1150,"Contact","Current","http://www.dcor.state.ga.us/sites/default/files/Jenkins%20PREA%20Audit%20Report.pdf"
370,2020-02-06,2020-03-23,287,1538,1610,"Contact","Current","http://www.dcor.state.ga.us/sites/default/files/Johnson%20State%20Prison_0.pdf"
371,2020-11-06,2020-12-28,365,1890,1998,"Contact","Current","http://www.dcor.state.ga.us/sites/default/files/Lee%20Arrendale%20State%20Prison%20%26%20Transitional%20Center%20Final%20%282%29.pdf"
374,2019-02-28,2019-04-15,61,187,212,"Contact","Current","http://www.dcor.state.ga.us/sites/default/files/Long%20Unit.pdf"
375,2017-11-05,2017-12-17,358,1670,1762,"Contact","Current","http://gdc.ga.gov/sites/default/files/Macon%20SP%20.pdf"
376,2019-09-10,2019-10-09,32,154,156,"Contact","Current","http://www.dcor.state.ga.us/sites/default/files/Macon%20Transitional%20Center.pdf"
377,2020-02-20,2020-03-27,64,223,235,"Contact","Current","http://gdc.ga.gov/sites/default/files/McEver%20PDC_0.pdf"
379,2019-04-22,2019-06-18,131,307,355,"Contact","Current","http://www.dcor.state.ga.us/sites/default/files/Metro%20Reentry%20Facility.pdf"
380,2018-09-27,2018-11-12,45,232,234,"Contact","Current","http://www.dcor.state.ga.us/sites/default/files/Metro%20Transitional%20Center_0.pdf"
381,2018-03-28,2018-05-04,31,146,149,"Contact","Current","http://gdc.ga.gov/sites/default/files/Mitchell%20County%20CI%20.pdf"
382,2019-10-11,2019-11-22,93,403,418,"Contact","Current","http://www.dcor.state.ga.us/sites/default/files/Montgomery%20State%20Prison.pdf"
383,2018-12-18,2019-02-01,125,525,528,"Contact","Current","http://www.dcor.state.ga.us/sites/default/files/Muscogee%20County%20CI.pdf"
384,2021-01-06,2021-02-20,145,480,644,"Contact","Current","http://www.gdc.ga.gov/sites/default/files/Walker%20SP.pdf"
385,2018-10-17,2018-11-27,64,229,252,"Contact","Current","http://gdc.ga.gov/sites/default/files/Patten%20PDC.pdf"
386,2018-03-16,2018-04-22,54,232,235,"Contact","Current","http://www.dcor.state.ga.us/sites/default/files/Paulding%20RSAT_0.pdf"
387,2018-02-05,2018-04-05,369,887,918,"Contact","Current","http://www.dcor.state.ga.us/sites/default/files/Phillips%20SP%20-%20Final%20Report.pdf"
389,2021-02-11,2021-03-26,222,944,1225,"Contact","Current","http://www.gdc.ga.gov/sites/default/files/Pulaski%20State%20Prison.pdf"
390,2019-06-14,2019-06-25,80,230,350,"Contact","Current","https://www.augustaga.gov/DocumentCenter/View/12465/Richmond-County-Correctional-Institution-Final-Doc"
391,2020-06-05,2020-06-15,287,1421,1500,"Contact","Current","http://www.dcor.state.ga.us/sites/default/files/Riverbend%20CF%20PREA%20Audit%20Report.pdf"
392,2019-02-07,2019-03-10,239,1363,1391,"Contact","Current","http://gdc.ga.gov/sites/default/files/Rogers%20State%20Prison_0.pdf"
393,2018-02-12,2018-05-20,159,,,"Contact",,"http://www.dcor.state.ga.us/sites/default/files/Rutledge%20State%20Prison.pdf"
394,2019-07-30,2019-10-16,17,147,148,"Contact","Current","http://gdc.ga.gov/sites/default/files/Screven%20County%20Prison.pdf"
395,2019-01-09,2019-02-01,333,1492,1562,"Contact","Current","http://gdc.ga.gov/sites/default/files/Smith%20State%20Prison%20Final%20Report.pdf"
396,2019-01-10,2019-02-15,36,206,211,"Contact","Current","http://gdc.ga.gov/sites/default/files/Smith%20TC.pdf"
398,2019-01-31,2019-03-03,86,377,384,"Contact","Current","http://www.dcor.state.ga.us/sites/default/files/Spalding%20County%20CI.pdf"
399,2019-04-03,2019-05-15,43,349,350,"Contact","Current","http://www.dcor.state.ga.us/sites/default/files/Sumter%20County%20CI.pdf"
400,2019-02-27,2019-03-31,299,1345,1420,"Contact","Current","http://www.dcor.state.ga.us/sites/default/files/Telfair%20State%20Prison.pdf"
401,2019-06-11,2019-08-06,29,139,150,"Contact","Current","http://www.dcor.state.ga.us/sites/default/files/Terrell%20County%20CI.pdf"
402,2018-01-24,2018-02-24,78,191,295,"Contact","Current","http://gdc.ga.gov/sites/default/files/Treutlen%20PDC%20-%20Final%20Report.pdf"
403,2015-07-15,,60,200,232,"Total","Current","http://www.gdc.ga.gov/sites/default/files/Turner%20RSAT.pdf"
404,2019-04-10,2019-05-10,289,1013,1159,"Contact","Current","http://www.dcor.state.ga.us/sites/default/files/Valdosta%20State%20Prison.pdf"
405,2019-04-11,2018-05-15,34,164,164,"Contact","Current","http://gdc.ga.gov/sites/default/files/Valdosta%20Transitional%20Center%20.pdf"
407,2018-05-04,2018-06-15,362,1488,1530,"Contact","Current","http://gdc.ga.gov/sites/default/files/Ware%20SP.pdf"
408,2020-12-09,2021-01-12,209,1540,1550,"Contact","Current","http://gdc.georgia.gov/sites/default/files/Washington%20State%20Prison.pdf"
409,2018-12-14,2019-01-11,61,176,193,"Contact","Current","http://www.gdc.ga.gov/sites/default/files/West%20Central%20ITF.pdf"
410,2018-09-26,2018-10-22,394,2620,2695,"Contact","Current","http://gdc.ga.gov/sites/default/files/Wheeler%20Correctional%20Inst..pdf"
411,2018-09-06,2018-09-30,127,434,442,"Contact","Current","http://www.dcor.state.ga.us/sites/default/files/Whitworth%20Women%27s%20Facility.pdf"
412,2019-10-23,2019-11-29,189,1807,1840,"Contact","Current","http://www.dcor.state.ga.us/sites/default/files/Wilcox%20State%20Prison%20.pdf"
413,2018-11-07,2018-12-20,54,221,234,"Contact","Current","http://gdc.ga.gov/sites/default/files/Women%27s%20Probation%20Detention%20Center%20.pdf"
414,2019-09-26,2020-02-14,413,708,586,"Contact","Current","https://dps.hawaii.gov/wp-content/uploads/2020/04/HCF-Final-audit-Report-02-14-2020.pdf"
415,2020-01-30,2020-09-02,162,244,265,"Contact","Current","https://dps.hawaii.gov/wp-content/uploads/2020/09/WCCC-Final-Audit-Report-FINAL-09022020.pdf"
417,2018-01-23,2018-05-31,82,200,125,"Contact","Current","https://dps.hawaii.gov/wp-content/uploads/2018/06/Final-PREA-Auditor-Report-KCCC-5-31-18.pdf"
418,2018-12-11,2019-07-23,76,149,200,"Contact","Current","https://dps.hawaii.gov/wp-content/uploads/2019/07/KCF-final-report.pdf"
419,2018-01-27,2018-05-01,156,512,301,"Contact","Current","https://dps.hawaii.gov/wp-content/uploads/2018/06/Final-PREA-Auditor-Report-MCCC-6-1-18.pdf"
422,2019-02-08,2019-10-14,591,1101,950,"Contact","Current","https://dps.hawaii.gov/wp-content/uploads/2019/10/OCCC-FINAL-PREA-REPORT-10-14-19.pdf"
423,2021-01-20,2021-05-06,326,1435,1926,"Contact","Current","https://www.corecivic.com/hubfs/_files/PREA/Facilities/2021%20Saguaro%20PREA%20Audit%20%20Final%20Report%2004%202021%20(2).pdf"
425,2019-09-26,2020-04-13,138,229,334,"Contact","Current","https://dps.hawaii.gov/wp-content/uploads/2020/04/WCF-final-audit-report.pdf"
426,2020-01-30,2020-09-02,162,244,265,"Contact","Current","https://dps.hawaii.gov/wp-content/uploads/2020/09/WCCC-Final-Audit-Report-FINAL-09022020.pdf"
427,2019-07-17,2019-08-09,80,420,442,"Contact","Current","https://www.mtctrains.com/wp-content/uploads/2019/09/Idaho_CAPP_2019_Final_PREA_Report.pdf"
449,2018-10-16,2018-11-14,341,1518,1958,"Contact","Current","https://www2.illinois.gov/idoc/programs/Documents/PREAAuditCycleTwo/Big%20Muddy%20River%20Correctional%20Center%20final%20PREA%20Report_2018_2.pdf"
451,2020-10-02,2020-10-25,428,1109,1572,"Contact","Current","https://www2.illinois.gov/idoc/programs/Documents/PREAAuditCycleThree/2020%20Final%20PREA%20Audit%20Report%20Centralia%20Correctional%20Center.pdf"
455,2018-03-21,2018-04-03,79,278,340,"Contact","Current","https://www2.illinois.gov/idoc/programs/Documents/PREAAuditCycleTwo/CATC%20Community%20Confinement%20Final%20PREAAudit%20Report%202018.pdf"
456,2020-01-17,2020-02-11,327,1621,1864,"Contact","Current","https://www2.illinois.gov/idoc/programs/Documents/PREAAuditCycleThree/2020%20Final%20PREA%20Audit%20Report%20Danville%20Correctional%20Center.pdf"
457,2019-10-01,2019-11-08,215,598,719,"Contact","Current","https://www2.illinois.gov/idoc/programs/Documents/PREAAuditCycleThree/2019%20Final%20PREA%20Audit%20Report%20Decatur%20Correctional%20Center.pdf"
458,2020-10-30,2020-11-26,655,1942,2529,"Contact","Current","https://www2.illinois.gov/idoc/programs/Documents/PREAAuditCycleThree/2020%20Final%20PREA%20Audit%20Report%20Dixon%20Correctional%20Center.pdf"
459,2019-12-03,2020-01-15,320,1265,1385,"Contact","Current","https://www2.illinois.gov/idoc/programs/Documents/PREAAuditCycleThree/2019%20Final%20PREA%20Audit%20Report%20East%20Moline%20Correctional%20Center%20%281%29.pdf"
461,2020-02-04,2020-03-16,33,128,130,"Contact","Current","https://www2.illinois.gov/idoc/programs/Documents/PREAAuditCycleThree/2020%20Final%20PREA%20Audit%20Report%20Fox%20Valley%20Adult%20Transition%20Center%20.pdf"
463,2018-10-05,2018-11-14,453,1920,2013,"Contact","Current","https://www2.illinois.gov/idoc/programs/Documents/PREAAuditCycleTwo/Graham%20Correctional%20Center%20Final%20PREA%20Report%202018.pdf"
465,2021-03-12,2021-04-01,394,1515,1861,"Contact","Current","https://www2.illinois.gov/idoc/programs/Documents/PREAAuditCycleThree/Hill%20Correctional%20Center%20PREA%20Report.pdf"
466,2019-12-06,2020-01-06,378,1663,2032,"Contact","Current","https://www2.illinois.gov/idoc/programs/Documents/PREAAuditCycleThree/2019%20Final%20PREA%20Audit%20Report%20Illinois%20River%20Correctional%20Center.pdf"
467,2018-05-09,2018-06-09,523,1272,1600,"Contact","Current","https://www2.illinois.gov/idoc/programs/Documents/PREAAuditCycleTwo/Jacksonville%20Correctional%20Center%20Final%20PREA%20Audit%20Report_2018.pdf"
469,2019-02-26,2019-04-01,187,275,648,"Contact","Current","https://www2.illinois.gov/idoc/programs/Documents/PREAAuditCycleTwo/Kewanee%20Life%20Skills%20Center%202019%20Final%20Audit%20Report%20%281%29.pdf"
470,2018-02-08,2018-03-13,403,1817,2400,"Contact","Current","https://www2.illinois.gov/idoc/programs/Documents/PREAAuditCycleTwo/Lawrence%20Correctional%20Cernter_Final%20PREA%20Audit%20Report%202018.pdf"
471,2018-12-04,2019-01-10,232,999,1019,"Contact","Current","https://www2.illinois.gov/idoc/programs/Documents/PREAAuditCycleTwo/Lincoln%20Correctional%20Center%202018%20PREA%20Final%20Report.pdf"
472,2018-12-04,2019-01-16,504,1715,1919,"Contact","Current","https://www2.illinois.gov/idoc/programs/Documents/PREAAuditCycleTwo/Logan%20Correctional%20Center%202018%20PREA%20Final%20Report.pdf"
474,2019-10-18,2019-11-27,889,2213,2757,"Contact","Current","https://www2.illinois.gov/idoc/programs/Documents/PREAAuditCycleThree/2019%20Final%20PREA%20Audit%20Report%20Menard%20Correctional%20Center.pdf"
477,2018-03-22,2018-04-06,59,84,200,"Contact","Current","https://www2.illinois.gov/idoc/programs/Documents/PREAAuditCycleTwo/NLATC%20Community%20Confinement%20Audit%20Report%202018.pdf"
480,2019-03-22,2019-04-02,39,239,248,"Contact","Current","https://www2.illinois.gov/idoc/programs/Documents/PREAAuditCycleTwo/2019%20Peoria%20Adult%20Transition%20Center%20Final%20Audit%20Report.pdf"
481,2019-11-08,2019-12-13,577,2112,2701,"Contact","Current","https://www2.illinois.gov/idoc/programs/Documents/PREAAuditCycleThree/2019%20Final%20PREA%20Audit%20Report%20Pinckneyville%20Correctional%20Center.pdf"
482,2017-12-05,2017-01-04,913,1438,2100,"Contact","Current","https://www2.illinois.gov/idoc/programs/Documents/PREAAuditCycleTwo/Final%20PREA%20Report%20-%20Pontiac%20CC.pdf"
483,2020-01-14,2020-02-06,267,1150,1197,"Contact","Current","https://www2.illinois.gov/idoc/programs/Documents/PREAAuditCycleThree/2020%20Final%20PREA%20Audit%20Report%20Robinson%20Correctional%20Center.pdf"
485,2020-03-05,2020-03-25,332,1562,1863,"Contact","Current","https://www2.illinois.gov/idoc/programs/Documents/PREAAuditCycleThree/2020%20Final%20PREA%20Audit%20Report%20Shawnee%20Correctional%20Center.pdf"
486,2018-02-07,2020-03-18,584,1678,1834,"Contact","Current","https://www2.illinois.gov/idoc/programs/Documents/PREAAuditCycleThree/2020%20Final%20PREA%20Audit%20Report%20Sheridan%20Correctional%20Center.pdf"
487,2020-09-29,2020-10-20,309,457,731,"Contact","Current","https://www2.illinois.gov/idoc/programs/Documents/PREAAuditCycleThree/2020%20Final%20PREA%20Audit%20Report%20Southwestern%20Illinois%20Correctional%20Center%5b13068%5d.pdf"
490,2018-05-11,2018-06-17,277,1132,1221,"Contact","Current","https://www2.illinois.gov/idoc/programs/Documents/PREAAuditCycleTwo/Taylorville%20Correctional%20Center_Final%20PREA%20Audit%20Report_2018.pdf"
492,2018-10-02,2018-11-09,393,1249,1770,"Contact","Current","https://www2.illinois.gov/idoc/programs/Documents/PREAAuditCycleTwo/Vandalia%20Correctional%20Center%20Final%20PREA%20Report%202018.pdf"
493,2018-10-19,2018-11-30,386,1139,1963,"Contact","Current","https://www2.illinois.gov/idoc/programs/Documents/PREAAuditCycleTwo/Vienna%20Correctional%20Center%20Final%20PREA%20Report_2018_2.pdf"
494,2019-10-04,2019-11-11,378,1686,2175,"Contact","Current","https://www2.illinois.gov/idoc/programs/Documents/PREAAuditCycleThree/2019%20Final%20PREA%20Audit%20Report%20Western%20Illinois%20Correctional%20Center.pdf"
495,2019-06-13,2019-10-02,328,1383,1485,"Contact","Current","https://secure.in.gov/idoc/files/Branchville-Final-2019.pdf"
500,2020-07-16,2020-11-20,303,1464,1495,"Contact","Current","https://secure.in.gov/idoc/files/CIF-Final-2020.pdf"
501,2018-04-19,2018-06-14,54,311,344,"Contact","Current","https://secure.in.gov/idoc/files/Edinburgh-Correctional-Facility-IDOC-FINAL-Audit-Report-6.14.18.pdf"
502,2019-04-18,2019-05-18,331,849,1066,"Contact","Current","https://secure.in.gov/idoc/files/Heritage-Trail-Correctional-Facility-Final-Report.pdf"
504,2018-06-22,2018-11-20,170,615,727,"Contact","Current","https://secure.in.gov/idoc/files/Indiana-Womens-Prison-IDOC-FINAL-Audit-Report-11.20.18.pdf"
505,2020-07-30,2020-11-30,73,29,58,"Contact","Current","https://secure.in.gov/idoc/files/LaPorte-Juvenile-Facility-Final-2020.pdf"
508,2018-04-17,2018-08-16,159,607,720,"Contact","Current","https://secure.in.gov/idoc/files/Final-Report-Madison-Correctional-Facility.pdf"
509,2018-06-21,2018-12-21,568,2922,3188,"Contact","Current","https://secure.in.gov/idoc/files/Miami-Correctional-Facility-Final-Audit-Report.pdf"
510,2019-03-07,2019-06-30,425,3058,3196,"Contact","Current","https://secure.in.gov/idoc/files/NCCF-Final-Report-2019.pdf"
511,2020-07-14,2020-11-20,427,1854,1986,"Contact","Current","https://secure.in.gov/idoc/files/Pendleton-Final-2020.pdf"
512,2019-07-11,2020-03-15,227,208,391,"Contact","Current","https://secure.in.gov/idoc/files/Pendleton-JCF-Final-2020.pdf"
513,2020-08-12,2021-02-15,331,1413,1537,"Contact","Current","https://secure.in.gov/idoc/files/Plainfield-PREA-Audit-2021-Final.pdf"
515,2020-07-28,2020-12-21,430,2027,2223,"Contact","Current","https://secure.in.gov/idoc/files/Putnamville-CF-Final-2020.pdf"
516,2020-10-05,2021-03-12,208,568,694,"Contact","Current","https://secure.in.gov/idoc/files/RDC-PREA-Report-Final-2021.pdf"
517,2019-05-13,2019-08-09,230,1171,600,"Contact","Current","https://secure.in.gov/idoc/files/Rockville-Final-2019.pdf"
524,2019-05-23,2019-10-10,576,2099,2198,"Contact","Current","https://secure.in.gov/idoc/files/Wabash-Valley-Final-2019.pdf"
525,2019-04-03,2019-09-19,652,2956,3476,"Contact","Current","https://secure.in.gov/idoc/files/Westville-Final-2019.pdf"
526,2018-04-12,2018-05-21,283,950,887,"Contact","Current","https://doc.iowa.gov/sites/default/files/documents/2018/10/anamosa_state_penitentiary_audit_2018.pdf"
527,2019-05-02,2019-05-17,216,987,750,"Contact","Current","https://doc.iowa.gov/sites/default/files/documents/2019/05/clarinda_correctional_facility_audit_2019.pdf"
528,2017-11-19,2018-02-18,258,1246,1162,"Contact","Current","https://doc.iowa.gov/sites/default/files/documents/2018/02/fort_dodge_correctional_facility_audit_2018.pdf"
529,2019-03-07,2019-03-23,203,732,888,"Contact","Current","http://publications.iowa.gov/30162/1/Final%20PREA%20Audit%20Report%20Iowa%20Correctional%20Institution%20for%20Women%20%203-23-19...pdf"
530,2020-03-19,2020-04-03,487,855,718,"Contact","Current","https://doc.iowa.gov/sites/default/files/documents/2020/04/iowa_medical_and_classification_center_audit_2020.pdf"
531,2019-04-04,2019-04-17,362,741,790,"Contact","Current","https://doc.iowa.gov/sites/default/files/documents/2019/05/iowa_state_penitentiary_audit_2019.pdf"
